-132.1,54.02
-132.08,53.26
-131.82,53.25
-130.32,54.32
-128.65,54.07
-128.63,54.05
-128.6,54.52
-128.14,52.16
-127.7,52.35
-127.45,50.38
-127.42,50.7
-127.167,54.783
-127.1,50.58
-126.75,52.37
-126.65,49.93
-126.05,49.78
-125.88,49.12
-125.75,54.23
-125.55,48.93
-125.24,50.02
-125.13,48.83
-124.98,49.68
-124.93,49.68
-124.8,49.27
-124.8,49.233
-124.52,49.83
-124.45,49.35
-124.4,48.56
-124.33,49.32
-124.2,48.88
-124.05,48.42
-123.93,49.17
-123.82,48.99
-123.75,49.47
-123.72,48.38
-123.7,48.78
-123.65,48.87
-123.5,48.45
-123.4,48.65
-123.37,48.43
-123.33,48.47
-123.32,48.42
-123.17,49.33
-123.15,49.7
-123.14,49.234
-123.12,49.25
-123.1,49.17
-123.08,49.08
-123.07,49.32
-123.03,54.98
-122.96,50.12
-122.92,49.28
-122.92,49.22
-122.8,49.02
-122.79,49.163
-122.75,53.92
-122.733,49.1
-122.65,49.1
-122.6,49.22
-122.48,52.98
-122.329,49.052
-122.3,51.58
-122.3,49.13
-122.15,52.133
-121.95,49.167
-121.93,50.68
-121.77,49.23
-121.57,50.23
-121.44,49.38
-121.32,50.8
-121.283,51.65
-121.28,50.72
-120.783,50.1
-120.51,49.5
-120.32,50.67
-120.17,53.3
-119.58,49.5
-119.5,49.03
-119.48,49.88
-119.28,50.7
-119.27,50.3
-119.12,49.5
-118.68,49.1
-118.45,49.03
-118.2,50.98
-118.08,52.88
-117.8,50.23
-117.7,49.1
-117.67,49.32
-117.58,53.4
-117.58,49.08
-117.55,49.45
-117.52,51.27
-117.28,49.48
-116.97,51.3
-116.92,49.92
-116.43,53.58
-115.98,49.68
-115.77,49.5
-115.68,54.15
-115.57,51.17
-115.35,51.09
-115.12,49.3
-115.07,49.5
-114.92,52.37
-114.65,54.13
-114.5,49.63
-114.4,54.13
-114.28,50.67
-114.08,51.05
-114.08,49.57
-114,53.53
-113.95,49.48
-113.87,50.58
-113.8,52.27
-113.73,52.47
-113.58,51.87
-113.58,50.03
-113.47,53.55
-113.42,49.72
-113.37,52.97
-113.3,49.2
-113.28,54.72
-113.22,53.72
-112.83,53.02
-112.82,49.7
-112.72,52.32
-112.7,51.47
-112.15,49.78
-112.05,53.5
-111.97,54.77
-111.88,50.58
-111.68,53.42
-111.45,52.08
-111.3,52.67
-111.17,50.2
-110.87,52.82
-110.85,53.37
-110.67,50.05
-110.17,54.45
-123.388,48.4
-123.384,48.407
-123.38,48.413
-123.375,48.421
-123.364,48.444
-123.358,48.458
-123.351,48.472
-123.345,48.486
-123.339,48.5
-123.315,48.55
-123.292,48.6
-123.268,48.65
-123.244,48.7
-132.54,52.94
-132.43,53
-132.208,53.125
-131.876,53.31
-131.544,53.495
-131.212,53.68
-130.88,53.865
-130.548,54.05
-130.216,54.235
-129.884,54.42
-129.552,54.605
-129.22,54.79
