 195604121510  2.3  -123.316   49.243   PGC     20.00   Mw   2.3 Mq     2.30
 195712112247  2.7  -123.659   49.544   PGC     39.00   Mw   2.1 Mq     2.67
 196606100547  3.4  -125.200   51.000   PGC             Mw   3.4 Mq     3.40
 195604241651  2.2  -123.000   49.800   PGC             Mw   2.2 Mq     2.20
 196611010722  3.5  -122.800   48.800   PGC             Mw   3.5 Mq     3.50
 196612250502  3.5  -122.100   49.000   PGC             Mw   3.5 Mq     3.50
 195605171704  2.4  -124.000   50.400   PGC             Mw   2.4 Mq     2.40
 196705160100  3.4  -122.400   49.000   PGC             Mw   3.4 Mq     3.40
 195805011825  2.7  -123.941   49.303   PGC     66.00   Mw   2.1 Mq     2.67
 196705160316  3.1  -122.550   49.050   PGC             Mw   3.1 Mq     3.10
 195805301623  2.6  -125.100   49.000   PGC             Mw   2.6 Mq     2.60
 196706201147  3.6  -123.200   48.900   PGC             Mw   3.6 Mq     3.60
 195806091038  2.7  -123.800   50.200   PGC             Mw   2.7 Mq     2.70
 195607181626  2.4  -124.000   49.370   PGC             Mw   2.4 Mq     2.40
 196805210507  3.4  -124.300   50.800   PGC     18.00 F Mw   3.4 Mq     3.40
 195806092319  2.5  -124.180   49.230   PGC             Mw   2.5 Mq     2.50
 196811221134  3.1  -124.500   48.750   PGC     18.00 F Mw   3.1 Mq     3.10
 195608080318  2.0  -123.200   50.200   PGC             Mw   2.0 Mq     2.00
 195807310722  2.5  -123.456   48.669   PGC      5.00   Mw   2.5 Mq     2.50
 196812041522  2.9  -124.800   50.700   PGC     18.00 F Mw   2.9 Mq     2.90
 195810222016  2.5  -123.950   49.100   PGC             Mw   2.5 Mq     2.50
 195609081817  2.1  -125.900   50.000   PGC             Mw   2.1 Mq     2.10
 195609122244  2.4  -122.598   49.388   PGC     10.00   Mw   2.4 Mq     2.40
 195812041813  2.7  -123.873   49.584   PGC     39.00   Mw   2.1 Mq     2.67
 195812062109  2.5  -122.690   49.075   PGC      8.00   Mw   2.5 Mq     2.50
 195610270357  2.4  -122.130   49.045   PGC     24.00   Mw   2.4 Mq     2.40
 195610271934  2.3  -125.700   49.900   PGC             Mw   2.3 Mq     2.30
 195611212202  2.1  -122.300   49.100   PGC             Mw   2.1 Mq     2.10
