-80.62,43.3,354,Plattsville,ON,SE Canada
-80.53,43.17,363,Princeton,ON,SE Canada
-80.52,43.47,409,Waterloo,ON,SE Canada
-80.48,43.45,299,Kitchener,ON,SE Canada
-80.47,48.53,312,Matheson,ON,SE Canada
-80.3936,44.1703,681,Dundalk,ON,SE Canada
-80.38,43.2,342,Paris,ON,SE Canada
-80.37,43.7,260,Fergus,ON,SE Canada
-80.32,42.77,406,Vittoria,ON,SE Canada
-80.32,43.38,226,Cambridge,ON,SE Canada
-80.3,42.83,374,Simcoe,ON,SE Canada
-80.27,43.13,221,Brantford,ON,SE Canada
-80.25,43.55,273,Guelph,ON,SE Canada
-80.22,44.48,240,Collingwood,ON,SE Canada
-80.2044,44.0764,682,Shelburne,ON,SE Canada
-80.2,42.78,326,Nanticoke (Port Dover),ON,SE Canada
-80.1,42.88,325,Nanticoke (Jarvis),ON,SE Canada
-80.1,43.92,336,Orangeville,ON,SE Canada
-80.05,42.97,277,Haldimand (Hagersville),ON,SE Canada
-80.03,45.35,344,Parry Sound,ON,SE Canada
-80.03,48.15,298,Kirkland Lake,ON,SE Canada
-79.93,43.07,276,Haldimand (Caledonia),ON,SE Canada
-79.92,43.65,279,Halton Hills (Georgetown),ON,SE Canada
-79.92,44.78,347,Penetanguishene,ON,SE Canada
-79.92,46.37,387,Sturgeon Falls,ON,SE Canada
-79.88,43.52,315,Milton,ON,SE Canada
-79.88,44.27,217,CFB Borden,ON,SE Canada
-79.88,44.75,314,Midland,ON,SE Canada
-79.87,44.15,204,Alliston,ON,SE Canada
-79.87,44.58,254,Elmvale,ON,SE Canada
-79.87,47.82,256,Englehart,ON,SE Canada
-79.86,43.25,280,Hamilton,ON,SE Canada
-79.82,44.87,285,Honey Harbour,ON,SE Canada
-79.82,47.72,252,Earlton,ON,SE Canada
-79.8,43.32,225,Burlington,ON,SE Canada
-79.78,47.07,391,Temagami,ON,SE Canada
-79.77,43.68,220,Brampton,ON,SE Canada
-79.68,43.45,335,Oakville,ON,SE Canada
-79.67,44.4,211,Barrie,ON,SE Canada
-79.67,47.5,328,New Liskeard,ON,SE Canada
-79.65,43.58,318,Mississauga,ON,SE Canada
-79.63,47.45,275,Haileybury,ON,SE Canada
-79.62,42.9,249,Dunnville,ON,SE Canada
-79.61,43.68,649,Toronto (LBP Int'l Airport),ON,SE Canada
-79.6,43.78,405,Vaughan (Woodbridge),ON,SE Canada
-79.58,43.55,319,Mississauga Port Credit,ON,SE Canada
-79.57,43.2,272,Grimsby,ON,SE Canada
-79.57,43.7,398,Etobicoke,ON,SE Canada
-79.57,44.12,219,Bradford,ON,SE Canada
-79.55,43.1,377,Smithville,ON,SE Canada
-79.55,44.47,274,Guthrie,ON,SE Canada
-79.47,44,209,Aurora,ON,SE Canada
-79.47,44.05,331,Newmarket,ON,SE Canada
-79.47,46.32,333,North Bay,ON,SE Canada
-79.45,43.87,368,Richmond Hill,ON,SE Canada
-79.43,47.33,538,Ville-Marie,QC,SE Canada
-79.42,43.77,399,North York,ON,SE Canada
-79.42,44.62,337,Orillia,ON,SE Canada
-79.4,45.62,224,Burk's Falls,ON,SE Canada
-79.4,45.77,389,Sundridge,ON,SE Canada
-79.38,43.65,650,Toronto (city hall),ON,SE Canada
-79.38,45.83,379,South River,ON,SE Canada
-79.37,44.92,271,Gravenhurst (Muskoka Airport),ON,SE Canada
-79.37,45.98,403,Trout Creek,ON,SE Canada
-79.3,45.03,218,Bracebridge,ON,SE Canada
-79.28,43.03,345,Pelham (Fonthill),ON,SE Canada
-79.27,43.87,310,Markham,ON,SE Canada
-79.25,42.98,412,Welland,ON,SE Canada
-79.25,43.17,381,St. Catharines,ON,SE Canada
-79.25,43.78,400,Scarborough,ON,SE Canada
-79.23,42.9,357,Port Colborne,ON,SE Canada
-79.22,45.33,287,Huntsville,ON,SE Canada
-79.15,44.43,213,Beaverton,ON,SE Canada
-79.12,44.1,404,Uxbridge,ON,SE Canada
-79.1,43.82,352,Pickering (Dunbarton),ON,SE Canada
-79.1,46.72,530,T?miscaming,QC,SE Canada
-79.07,43.1,332,Niagara Falls,ON,SE Canada
-79.05,42.88,263,Fort Erie (Ridgeway),ON,SE Canada
-79.03,43.85,202,Ajax,ON,SE Canada
-79.03,44.35,228,Cannington,ON,SE Canada
-79.02,48.23,509,Rouyn,QC,SE Canada
-79.02,48.25,492,Noranda,QC,SE Canada
-78.95,43.95,415,Whitby (Brooklin),ON,SE Canada
-78.95,44.1,360,Port Perry,ON,SE Canada
-78.93,42.9,262,Fort Erie,ON,SE Canada
-78.93,43.87,414,Whitby,ON,SE Canada
-78.85,43.9,338,Oshawa,ON,SE Canada
-78.8,44.65,236,Coboconk,ON,SE Canada
-78.75,44.53,259,Fenelon Falls,ON,SE Canada
-78.73,44.35,303,Lindsay,ON,SE Canada
-78.73,44.92,317,Minden,ON,SE Canada
-78.7,46.32,313,Mattawa,ON,SE Canada
-78.68,43.91,330,Bowmanville,ON,SE Canada
-78.65,44.78,297,Kinmount,ON,SE Canada
-78.58,43.92,329,Newcastle,ON,SE Canada
-78.52,45.05,278,Haliburton,ON,SE Canada
-78.47,44.2,230,Cavan,ON,SE Canada
-78.32,44.3,350,Peterborough,ON,SE Canada
-78.3,43.95,359,Port Hope,ON,SE Canada
-78.27,44.43,300,Lakefield,ON,SE Canada
-78.17,43.97,237,Cobourg,ON,SE Canada
-78.13,48.13,471,Malartic,QC,SE Canada
-78.12,48.57,424,Amos,QC,SE Canada
-77.98,44.38,334,Norwood,ON,SE Canada
-77.95,44.3,282,Hastings,ON,SE Canada
-77.88,44,239,Colborne,ON,SE Canada
-77.85,45.05,210,Bancroft,ON,SE Canada
-77.8,44.3,227,Campbellford,ON,SE Canada
-77.78,48.1,534,Val-d'Or,QC,SE Canada
-77.73,44.03,222,Brighton,ON,SE Canada
-77.58,44.1,402,Trenton,ON,SE Canada
-77.57,46.13,355,Point Alexander,ON,SE Canada
-77.55,44.3,384,Stirling,ON,SE Canada
-77.5,46.1,243,Deep River,ON,SE Canada
-77.42,45.55,294,Killaloe,ON,SE Canada
-77.3833,44.1667,214,Belleville,ON,SE Canada
-77.33,45.9,349,Petawawa,ON,SE Canada
-77.23,48.38,512,Senneterre,QC,SE Canada
-77.13,44,353,Picton,ON,SE Canada
-77.12,45.82,346,Pembroke,ON,SE Canada
-77.05,44.2,244,Deseronto,ON,SE Canada
-76.95,44.25,327,Napanee,ON,SE Canada
-76.73,45.85,446,Fort-Coulonge,QC,SE Canada
-76.68,45.47,367,Renfrew,ON,SE Canada
-76.6,45.73,434,Campbell's Bay,QC,SE Canada
-76.48,44.23,296,Kingston,ON,SE Canada
-76.48,45.6,515,Shawville,QC,SE Canada
-76.47,44.23,212,Barriefield,ON,SE Canada
-76.35,45.43,207,Arnprior,ON,SE Canada
-76.25,44.9,348,Perth,ON,SE Canada
-76.2,45.23,205,Almonte,ON,SE Canada
-76.17,44.33,265,Gananoque,ON,SE Canada
-76.15,45.13,229,Carleton Place,ON,SE Canada
-76.05,46.1,450,Gracefield,QC,SE Canada
-76.02,44.9,376,Smiths Falls,ON,SE Canada
-75.97,46.38,472,Maniwaki,QC,SE Canada
-75.93,45.64,654,Wakefield,QC,SE Canada
-75.91,45.31,646,Ottawa (Kanata),ON,SE Canada
-75.83,45.4,426,Aylmer,QC,SE Canada
-75.76,45.28,645,Ottawa (Barrhaven),ON,SE Canada
-75.73,45.43,455,Hull,QC,SE Canada
-75.69,45.42,339,Ottawa (city hall),ON,SE Canada
-75.68,44.59,223,Brockville,ON,SE Canada
-75.67,45.32,648,Ottawa (M-C Int'l Airport),ON,SE Canada
-75.65,45.5,449,Gatineau,QC,SE Canada
-75.64,45.02,292,Kemptville,ON,SE Canada
-75.62,44.63,308,Maitland,ON,SE Canada
-75.52,44.72,362,Prescott,ON,SE Canada
-75.52,45.48,647,Ottawa (Orleans),ON,SE Canada
-75.5,46.55,476,Mont-Laurier,QC,SE Canada
-75.42,45.58,433,Buckingham,QC,SE Canada
-75.4167,45.5333,473,Masson,QC,SE Canada
-75.29,45.55,369,Rockland,ON,SE Canada
-75.25,45.6,532,Thurso,QC,SE Canada
-75.18,44.9,322,Morrisburg,ON,SE Canada
