# mean, investigation_time=50.0
lon,lat,0.02~SA(2.0),0.02~SA(5.0),0.1~SA(2.0),0.1~SA(5.0)
-97.15000,49.89000,8.834257E-03,1.738056E-03,2.074540E-03,0.000000E+00
-94.43000,49.82000,9.807001E-03,1.921449E-03,2.271934E-03,0.000000E+00
-93.82000,51.05000,1.058742E-02,2.082517E-03,2.534305E-03,0.000000E+00
-93.55000,49.80000,1.036775E-02,2.015730E-03,2.372107E-03,0.000000E+00
-93.39000,48.61000,9.234500E-03,1.778123E-03,2.006287E-03,0.000000E+00
-92.75000,49.78000,1.059803E-02,2.060842E-03,2.426526E-03,0.000000E+00
-91.98000,50.07000,1.085870E-02,2.119268E-03,2.519992E-03,0.000000E+00
-91.62000,48.75000,9.830453E-03,1.902125E-03,2.180124E-03,0.000000E+00
-91.13000,49.25000,1.039881E-02,2.017845E-03,2.361264E-03,0.000000E+00
-90.57000,49.25000,1.041883E-02,2.029596E-03,2.378753E-03,0.000000E+00
-90.00000,53.83000,9.628417E-03,1.936676E-03,2.461707E-03,0.000000E+00
-89.93000,48.83000,1.016683E-02,1.998210E-03,2.327810E-03,0.000000E+00
-89.32000,48.40000,9.869782E-03,1.972050E-03,2.293137E-03,0.000000E+00
-89.03000,50.30000,1.096140E-02,2.232412E-03,2.745784E-03,0.000000E+00
-88.53000,48.78000,1.036329E-02,2.116482E-03,2.525546E-03,0.000000E+00
-87.88000,52.23000,1.075767E-02,2.221049E-03,2.858989E-03,0.000000E+00
-87.52000,49.68000,1.107697E-02,2.308056E-03,2.840100E-03,0.000000E+00
-87.25000,48.80000,1.100195E-02,2.306870E-03,2.737206E-03,0.000000E+00
-86.95000,49.73000,1.137191E-02,2.388964E-03,2.943943E-03,0.000000E+00
-86.70000,50.17000,1.150826E-02,2.419952E-03,3.023009E-03,0.000000E+00
-85.28000,48.60000,1.561076E-02,3.618369E-03,4.280708E-03,0.000000E+00
-85.22000,50.02000,1.429458E-02,3.206031E-03,3.900294E-03,0.000000E+00
-84.78000,47.98000,1.711392E-02,4.060000E-03,4.710838E-03,0.000000E+00
-84.78000,49.22000,1.629205E-02,3.777705E-03,4.533904E-03,0.000000E+00
-84.33000,46.52000,1.967175E-02,4.853183E-03,5.722239E-03,1.181041E-03
-83.67000,49.68000,1.849340E-02,4.344196E-03,5.205760E-03,1.024173E-03
-83.40000,47.83000,2.197322E-02,5.421021E-03,6.357321E-03,1.306797E-03
-83.02000,42.30000,2.434419E-02,5.716778E-03,6.779369E-03,1.335885E-03
-82.65700,46.38100,2.667448E-02,6.836663E-03,8.197989E-03,1.776314E-03
-82.57000,42.08000,2.610068E-02,6.119362E-03,7.216198E-03,1.422387E-03
-82.47000,45.92000,2.764029E-02,7.127438E-03,8.643746E-03,1.899014E-03
-82.43000,42.88000,2.618759E-02,6.472813E-03,7.808695E-03,1.638574E-03
-82.43000,49.42000,2.387657E-02,5.690859E-03,6.715320E-03,1.344985E-03
-82.43000,52.93000,1.277104E-02,2.636589E-03,3.291997E-03,0.000000E+00
-82.38000,42.60000,2.666535E-02,6.501374E-03,7.788205E-03,1.611124E-03
-82.38000,42.97000,2.637834E-02,6.555295E-03,7.940537E-03,1.676770E-03
-82.18000,42.40000,2.772006E-02,6.717546E-03,8.033436E-03,1.652011E-03
