# mean, investigation_time=50.0
lon,lat,0.02~SA(0.2),0.02~SA(2.0),0.1~SA(0.2),0.1~SA(2.0)
-97.15000,49.89000,6.783766E-02,8.815587E-03,1.942491E-02,2.083097E-03
-94.43000,49.82000,8.071000E-02,9.784565E-03,2.271602E-02,2.281020E-03
-93.82000,51.05000,8.716215E-02,1.055994E-02,2.424416E-02,2.543322E-03
-93.55000,49.80000,8.941452E-02,1.034325E-02,2.435892E-02,2.380920E-03
-93.39000,48.61000,8.122624E-02,9.217972E-03,2.085293E-02,2.014746E-03
-92.75000,49.78000,9.237033E-02,1.057385E-02,2.528341E-02,2.435459E-03
-91.98000,50.07000,9.399508E-02,1.083228E-02,2.602625E-02,2.529072E-03
-91.62000,48.75000,8.687885E-02,9.810246E-03,2.281850E-02,2.189056E-03
-91.13000,49.25000,9.108007E-02,1.037603E-02,2.463322E-02,2.370093E-03
-90.57000,49.25000,9.006310E-02,1.039528E-02,2.438626E-02,2.387607E-03
-90.00000,53.83000,6.915439E-02,9.599456E-03,2.053569E-02,2.470431E-03
-89.93000,48.83000,8.503886E-02,1.014177E-02,2.272145E-02,2.337098E-03
-89.32000,48.40000,7.648957E-02,9.843826E-03,2.091380E-02,2.302286E-03
-89.03000,50.30000,8.094134E-02,1.092601E-02,2.391099E-02,2.754953E-03
-88.53000,48.78000,7.374772E-02,1.033036E-02,2.162709E-02,2.534437E-03
-87.88000,52.23000,7.222691E-02,1.071838E-02,2.199787E-02,2.868122E-03
-87.52000,49.68000,7.332763E-02,1.103694E-02,2.239908E-02,2.849297E-03
-87.25000,48.80000,7.188575E-02,1.096322E-02,2.166551E-02,2.746334E-03
-86.95000,49.73000,7.316416E-02,1.132813E-02,2.252796E-02,2.952571E-03
-86.70000,50.17000,7.340293E-02,1.146233E-02,2.275394E-02,3.031611E-03
-85.28000,48.60000,7.995667E-02,1.551521E-02,2.589589E-02,4.287146E-03
-85.22000,50.02000,7.931806E-02,1.421667E-02,2.553731E-02,3.907456E-03
-84.78000,47.98000,8.337960E-02,1.700563E-02,2.732372E-02,4.715764E-03
-84.78000,49.22000,8.445548E-02,1.619363E-02,2.762161E-02,4.539266E-03
-84.33000,46.52000,8.538739E-02,1.952212E-02,2.850654E-02,5.722447E-03
-83.67000,49.68000,9.932548E-02,1.836983E-02,3.266424E-02,5.209173E-03
-83.40000,47.83000,1.012798E-01,2.180741E-02,3.458024E-02,6.355151E-03
-83.02000,42.30000,1.430462E-01,2.417568E-02,4.847049E-02,6.779308E-03
-82.65700,46.38100,1.117754E-01,2.644527E-02,3.918335E-02,8.184523E-03
-82.57000,42.08000,1.636079E-01,2.592422E-02,5.492001E-02,7.215382E-03
-82.47000,45.92000,1.121712E-01,2.739321E-02,3.979006E-02,8.627657E-03
-82.43000,42.88000,1.310779E-01,2.598204E-02,4.564389E-02,7.800698E-03
-82.43000,49.42000,1.457120E-01,2.370344E-02,4.627503E-02,6.713667E-03
-82.43000,52.93000,9.470856E-02,1.272036E-02,2.856037E-02,3.300973E-03
-82.38000,42.60000,1.452926E-01,2.646199E-02,4.941020E-02,7.781575E-03
-82.38000,42.97000,1.290430E-01,2.616752E-02,4.512450E-02,7.931288E-03
-82.18000,42.40000,1.615062E-01,2.750999E-02,5.422430E-02,8.026511E-03
-82.18000,42.58000,1.525068E-01,2.737327E-02,5.155285E-02,8.108179E-03
-82.15000,42.87000,1.390287E-01,2.725684E-02,4.814545E-02,8.296418E-03
-82.12000,42.95000,1.364751E-01,2.734935E-02,4.755084E-02,8.392047E-03
-82.00000,43.10000,1.341011E-01,2.785904E-02,4.715627E-02,8.672919E-03
-81.88000,42.95000,1.433143E-01,2.847915E-02,4.974906E-02,8.806880E-03
-81.85000,43.15000,1.363052E-01,2.855243E-02,4.805665E-02,8.957884E-03
-81.77000,46.25000,1.367709E-01,3.146093E-02,4.848238E-02,9.893419E-03
-81.72000,42.75000,1.582485E-01,2.940241E-02,5.383883E-02,8.995455E-03
-81.72000,43.75000,1.263048E-01,2.942128E-02,4.557043E-02,9.527431E-03
-81.68000,43.15000,1.409669E-01,2.939090E-02,4.966705E-02,9.266198E-03
-81.63000,42.95000,1.510603E-01,2.973465E-02,5.222346E-02,9.259398E-03
-81.63000,44.18000,1.238186E-01,3.020424E-02,4.508659E-02,9.903384E-03
-81.63000,49.28000,2.440098E-01,3.038827E-02,6.331833E-02,8.235595E-03
