# mean, investigation_time=50.0
lon,lat,SA(0.2)-0.001,SA(0.2)-0.00123697383288,SA(0.2)-0.00153010426322,SA(0.2)-0.00189269893518,SA(0.2)-0.00234121905633,SA(0.2)-0.00289602670972,SA(0.2)-0.00358230925923,SA(0.2)-0.00443122281494,SA(0.2)-0.00548130666973,SA(0.2)-0.00678023292043,SA(0.2)-0.00838697070339,SA(0.2)-0.0103744632972,SA(0.2)-0.0128329396288,SA(0.2)-0.0158740105197,SA(0.2)-0.0196357356357,SA(0.2)-0.0242888911706,SA(0.2)-0.0300447228076,SA(0.2)-0.0371645359291,SA(0.2)-0.0459715584553,SA(0.2)-0.0568656148658,SA(0.2)-0.0703412775794,SA(0.2)-0.0870103197369,SA(0.2)-0.107629488705,SA(0.2)-0.133134861174,SA(0.2)-0.164684339516,SA(0.2)-0.203710218666,SA(0.2)-0.251984209979,SA(0.2)-0.311697874042,SA(0.2)-0.385562113954,SA(0.2)-0.476930245909,SA(0.2)-0.589950234297,SA(0.2)-0.729753002526,SA(0.2)-0.902685368588,SA(0.2)-1.11659818026,SA(0.2)-1.38120273082,SA(0.2)-1.70851163593,SA(0.2)-2.11338418681,SA(0.2)-2.6142009379,SA(0.2)-3.23369815406,SA(0.2)-4.0,SA(2.0)-0.001,SA(2.0)-0.00123697383288,SA(2.0)-0.00153010426322,SA(2.0)-0.00189269893518,SA(2.0)-0.00234121905633,SA(2.0)-0.00289602670972,SA(2.0)-0.00358230925923,SA(2.0)-0.00443122281494,SA(2.0)-0.00548130666973,SA(2.0)-0.00678023292043,SA(2.0)-0.00838697070339,SA(2.0)-0.0103744632972,SA(2.0)-0.0128329396288,SA(2.0)-0.0158740105197,SA(2.0)-0.0196357356357,SA(2.0)-0.0242888911706,SA(2.0)-0.0300447228076,SA(2.0)-0.0371645359291,SA(2.0)-0.0459715584553,SA(2.0)-0.0568656148658,SA(2.0)-0.0703412775794,SA(2.0)-0.0870103197369,SA(2.0)-0.107629488705,SA(2.0)-0.133134861174,SA(2.0)-0.164684339516,SA(2.0)-0.203710218666,SA(2.0)-0.251984209979,SA(2.0)-0.311697874042,SA(2.0)-0.385562113954,SA(2.0)-0.476930245909,SA(2.0)-0.589950234297,SA(2.0)-0.729753002526,SA(2.0)-0.902685368588,SA(2.0)-1.11659818026,SA(2.0)-1.38120273082,SA(2.0)-1.70851163593,SA(2.0)-2.11338418681,SA(2.0)-2.6142009379,SA(2.0)-3.23369815406,SA(2.0)-4.0
-97.15000,49.89000,5.527040E-01,5.325434E-01,5.081087E-01,4.795596E-01,4.473060E-01,4.119709E-01,3.743426E-01,3.353226E-01,2.958748E-01,2.569747E-01,2.195563E-01,1.844564E-01,1.523581E-01,1.237438E-01,9.886726E-02,7.775589E-02,6.024179E-02,4.601443E-02,3.467900E-02,2.580794E-02,1.897953E-02,1.380311E-02,9.933613E-03,7.077863E-03,4.994856E-03,3.491918E-03,2.418533E-03,1.659372E-03,1.127514E-03,7.584021E-04,5.046961E-04,3.320672E-04,2.158582E-04,1.385141E-04,8.765121E-05,5.462527E-05,3.347253E-05,2.012813E-05,1.185294E-05,6.820676E-06,1.790131E-01,1.532068E-01,1.298196E-01,1.088365E-01,9.019499E-02,7.380427E-02,5.955758E-02,4.733694E-02,3.701269E-02,2.844050E-02,2.145898E-02,1.589033E-02,1.154496E-02,8.229481E-03,5.756245E-03,3.952066E-03,2.664567E-03,1.765393E-03,1.150555E-03,7.386942E-04,4.681633E-04,2.936501E-04,1.828310E-04,1.133252E-04,7.008907E-05,4.329537E-05,2.668879E-05,1.637140E-05,9.948143E-06,5.954062E-06,3.487841E-06,1.986921E-06,1.093903E-06,5.786222E-07,2.924405E-07,1.404967E-07,6.385076E-08,2.732256E-08,1.095953E-08,4.102827E-09
-94.43000,49.82000,5.596510E-01,5.412716E-01,5.189434E-01,4.927518E-01,4.629849E-01,4.301056E-01,3.947184E-01,3.575407E-01,3.193766E-01,2.810911E-01,2.435722E-01,2.076802E-01,1.741840E-01,1.436979E-01,1.166325E-01,9.317529E-02,7.330436E-02,5.682836E-02,4.343852E-02,3.275960E-02,2.439200E-02,1.794322E-02,1.304936E-02,9.388192E-03,6.685161E-03,4.713806E-03,3.292348E-03,2.278183E-03,1.561670E-03,1.060064E-03,7.119959E-04,4.726536E-04,3.097125E-04,2.000453E-04,1.271922E-04,7.949809E-05,4.877231E-05,2.932254E-05,1.724577E-05,9.904721E-06,1.901357E-01,1.634683E-01,1.391886E-01,1.173119E-01,9.779596E-02,8.056207E-02,6.550971E-02,5.252400E-02,4.147747E-02,3.222876E-02,2.462092E-02,1.848169E-02,1.362707E-02,9.867922E-03,7.018228E-03,4.903334E-03,3.366412E-03,2.272404E-03,1.509349E-03,9.875821E-04,6.375529E-04,4.069013E-04,2.573375E-04,1.616529E-04,1.010555E-04,6.292424E-05,3.900137E-05,2.400504E-05,1.461259E-05,8.750992E-06,5.124902E-06,2.916792E-06,1.603472E-06,8.465093E-07,4.268330E-07,2.045201E-07,9.268116E-08,3.954105E-08,1.581254E-08,5.901793E-09
-93.82000,51.05000,6.037366E-01,5.841436E-01,5.601618E-01,5.318398E-01,4.994751E-01,4.635936E-01,4.249116E-01,3.842903E-01,3.426865E-01,3.011021E-01,2.605303E-01,2.218984E-01,1.860067E-01,1.534720E-01,1.246869E-01,9.980727E-02,7.877121E-02,6.134425E-02,4.717587E-02,3.585419E-02,2.695033E-02,2.005012E-02,1.477460E-02,1.079112E-02,7.817474E-03,5.620794E-03,4.013312E-03,2.846588E-03,2.005438E-03,1.402188E-03,9.714440E-04,6.653410E-04,4.492950E-04,2.983702E-04,1.944288E-04,1.241077E-04,7.749553E-05,4.727986E-05,2.815144E-05,1.634002E-05,2.085100E-01,1.795406E-01,1.530860E-01,1.291822E-01,1.078032E-01,8.888289E-02,7.232878E-02,5.802967E-02,4.585671E-02,3.566176E-02,2.727581E-02,2.051002E-02,1.516073E-02,1.101779E-02,7.874701E-03,5.538103E-03,3.835109E-03,2.617467E-03,1.762734E-03,1.173126E-03,7.729217E-04,5.051465E-04,3.281103E-04,2.121206E-04,1.365749E-04,8.752156E-05,5.570989E-05,3.510351E-05,2.179829E-05,1.327037E-05,7.876073E-06,4.531565E-06,2.513634E-06,1.337149E-06,6.787502E-07,3.272144E-07,1.491335E-07,6.397788E-08,2.572352E-08,9.652253E-09
-93.55000,49.80000,5.628412E-01,5.446410E-01,5.226040E-01,4.968310E-01,4.676090E-01,4.353787E-01,4.007028E-01,3.642412E-01,3.267349E-01,2.889880E-01,2.518397E-01,2.161182E-01,1.825803E-01,1.518463E-01,1.243493E-01,1.003110E-01,7.975144E-02,6.252453E-02,4.836549E-02,3.693756E-02,2.787106E-02,2.079325E-02,1.535037E-02,1.122230E-02,8.130841E-03,5.842251E-03,4.165578E-03,2.948425E-03,2.071663E-03,1.444055E-03,9.971716E-04,6.807045E-04,4.582024E-04,3.033751E-04,1.971470E-04,1.255300E-04,7.821013E-05,4.762364E-05,2.830952E-05,1.640945E-05,1.952995E-01,1.683095E-01,1.436714E-01,1.214171E-01,1.015180E-01,8.390588E-02,6.848760E-02,5.515280E-02,4.377666E-02,3.421924E-02,2.632452E-02,1.992117E-02,1.482625E-02,1.085174E-02,7.812487E-03,5.534089E-03,3.859126E-03,2.651077E-03,1.795782E-03,1.200911E-03,7.940471E-04,5.200065E-04,3.378849E-04,2.181654E-04,1.400988E-04,8.945999E-05,5.671530E-05,3.559375E-05,2.202148E-05,1.336394E-05,7.911182E-06,4.542588E-06,2.515916E-06,1.336888E-06,6.781023E-07,3.267415E-07,1.488747E-07,6.385711E-08,2.567316E-08,9.633018E-09
-93.39000,48.61000,5.100636E-01,4.916366E-01,4.695249E-01,4.439551E-01,4.153562E-01,3.843068E-01,3.514757E-01,3.175726E-01,2.833132E-01,2.493992E-01,2.165038E-01,1.852518E-01,1.561917E-01,1.297585E-01,1.062414E-01,8.576652E-02,6.830395E-02,5.369518E-02,4.169147E-02,3.199224E-02,2.427719E-02,1.823011E-02,1.355518E-02,9.986893E-03,7.295053E-03,5.285796E-03,3.800059E-03,2.710393E-03,1.916942E-03,1.343046E-03,9.308431E-04,6.371718E-04,4.300189E-04,2.856557E-04,1.864767E-04,1.194373E-04,7.493277E-05,4.596990E-05,2.752982E-05,1.606800E-05,1.705446E-01,1.466890E-01,1.249899E-01,1.054504E-01,8.802561E-02,7.264069E-02,5.920255E-02,4.760595E-02,3.773475E-02,2.946067E-02,2.264206E-02,1.712446E-02,1.274405E-02,9.333548E-03,6.729421E-03,4.778789E-03,3.344714E-03,2.309277E-03,1.574492E-03,1.061515E-03,7.087511E-04,4.693969E-04,3.088186E-04,2.020364E-04,1.314687E-04,8.501916E-05,5.452734E-05,3.456999E-05,2.157386E-05,1.318724E-05,7.853488E-06,4.531925E-06,2.520432E-06,1.343958E-06,6.837124E-07,3.302998E-07,1.508537E-07,6.485636E-08,2.613850E-08,9.834290E-09
-92.75000,49.78000,5.664274E-01,5.481974E-01,5.261875E-01,5.005238E-01,4.715093E-01,4.395848E-01,4.052903E-01,3.692417E-01,3.321200E-01,2.946652E-01,2.576615E-01,2.219035E-01,1.881418E-01,1.570174E-01,1.290038E-01,1.043726E-01,8.319277E-02,6.535906E-02,5.063692E-02,3.870909E-02,2.921604E-02,2.178772E-02,1.606701E-02,1.172616E-02,8.476798E-03,6.074131E-03,4.316794E-03,3.043604E-03,2.128664E-03,1.475812E-03,1.013053E-03,6.873568E-04,4.600908E-04,3.032286E-04,1.964171E-04,1.248430E-04,7.774300E-05,4.736042E-05,2.818204E-05,1.635647E-05,1.986434E-01,1.713179E-01,1.463484E-01,1.237767E-01,1.035802E-01,8.569390E-02,7.002522E-02,5.646336E-02,4.488227E-02,3.514067E-02,2.708141E-02,2.053239E-02,1.531021E-02,1.122652E-02,8.095692E-03,5.742495E-03,4.008211E-03,2.754573E-03,1.865381E-03,1.246151E-03,8.223981E-04,5.370827E-04,3.477367E-04,2.235917E-04,1.429456E-04,9.088279E-05,5.739692E-05,3.591218E-05,2.217157E-05,1.343873E-05,7.951835E-06,4.566373E-06,2.530186E-06,1.345256E-06,6.827566E-07,3.291628E-07,1.500483E-07,6.438807E-08,2.589823E-08,9.722724E-09
-91.98000,50.07000,5.808342E-01,5.623383E-01,5.399736E-01,5.138626E-01,4.843132E-01,4.517750E-01,4.167957E-01,3.799933E-01,3.420452E-01,3.036889E-01,2.657154E-01,2.289419E-01,1.941555E-01,1.620408E-01,1.331100E-01,1.076616E-01,8.577657E-02,6.735007E-02,5.214025E-02,3.981950E-02,3.001723E-02,2.235219E-02,1.645581E-02,1.198872E-02,8.651230E-03,6.188498E-03,4.390942E-03,3.091174E-03,2.158852E-03,1.494737E-03,1.024742E-03,6.944494E-04,4.643101E-04,3.056908E-04,1.978303E-04,1.256418E-04,7.818587E-05,4.759857E-05,2.830424E-05,1.641518E-05,2.051787E-01,1.770220E-01,1.512705E-01,1.279742E-01,1.071157E-01,8.863275E-02,7.243409E-02,5.840841E-02,4.642788E-02,3.634814E-02,2.800781E-02,2.122964E-02,1.582445E-02,1.159772E-02,8.357661E-03,5.923050E-03,4.129618E-03,2.834134E-03,1.916127E-03,1.277605E-03,8.413013E-04,5.480696E-04,3.538947E-04,2.269115E-04,1.446642E-04,9.173717E-05,5.780568E-05,3.610119E-05,2.225640E-05,1.347569E-05,7.967275E-06,4.572340E-06,2.532138E-06,1.345642E-06,6.826382E-07,3.289591E-07,1.498900E-07,6.429214E-08,2.584814E-08,9.699348E-09
-91.62000,48.75000,5.330362E-01,5.144445E-01,4.921201E-01,4.662798E-01,4.373384E-01,4.058526E-01,3.724594E-01,3.378287E-01,3.026365E-01,2.675584E-01,2.332672E-01,2.004207E-01,1.696291E-01,1.414068E-01,1.161236E-01,9.397492E-02,7.498112E-02,5.901446E-02,4.584021E-02,3.515903E-02,2.664242E-02,1.995897E-02,1.479272E-02,1.085524E-02,7.892897E-03,5.689946E-03,4.068383E-03,2.885333E-03,2.028913E-03,1.413382E-03,9.741799E-04,6.633310E-04,4.454521E-04,2.945234E-04,1.914176E-04,1.220953E-04,7.630816E-05,4.665275E-05,2.785456E-05,1.621571E-05,1.821539E-01,1.568784E-01,1.338381E-01,1.130533E-01,9.448972E-02,7.807709E-02,6.372283E-02,5.131927E-02,4.074578E-02,3.186817E-02,2.453791E-02,1.859293E-02,1.386133E-02,1.016743E-02,7.339121E-03,5.214951E-03,3.649621E-03,2.517309E-03,1.712829E-03,1.151030E-03,7.650111E-04,5.036680E-04,3.290082E-04,2.135144E-04,1.377540E-04,8.832930E-05,5.620189E-05,3.538273E-05,2.195160E-05,1.335479E-05,7.923951E-06,4.559676E-06,2.530418E-06,1.347060E-06,6.844007E-07,3.302773E-07,1.507003E-07,6.473192E-08,2.606448E-08,9.796868E-09
-91.13000,49.25000,5.576695E-01,5.391410E-01,5.168304E-01,4.909059E-01,4.617209E-01,4.297658E-01,3.956207E-01,3.599224E-01,3.233486E-01,2.866128E-01,2.504547E-01,2.156146E-01,1.827881E-01,1.525684E-01,1.253922E-01,1.015075E-01,8.097105E-02,6.367532E-02,4.939000E-02,3.780669E-02,2.857755E-02,2.134560E-02,1.576699E-02,1.152637E-02,8.346095E-03,5.990109E-03,4.263755E-03,3.010782E-03,2.108803E-03,1.464100E-03,1.006346E-03,6.836421E-04,4.581070E-04,3.022093E-04,1.959134E-04,1.246033E-04,7.763293E-05,4.731162E-05,2.816120E-05,1.634797E-05,1.941737E-01,1.674004E-01,1.429497E-01,1.208581E-01,1.011007E-01,8.361159E-02,6.829854E-02,5.505171E-02,4.374634E-02,3.424267E-02,2.638527E-02,2.000416E-02,1.491851E-02,1.094307E-02,7.895783E-03,5.605245E-03,3.916604E-03,2.695231E-03,1.828148E-03,1.223584E-03,8.092251E-04,5.297021E-04,3.437809E-04,2.215698E-04,1.419623E-04,9.042822E-05,5.719680E-05,3.582777E-05,2.213699E-05,1.342466E-05,7.945969E-06,4.563802E-06,2.528996E-06,1.344686E-06,6.824823E-07,3.290342E-07,1.499907E-07,6.436360E-08,2.588845E-08,9.719038E-09
-90.57000,49.25000,5.631245E-01,5.443571E-01,5.217208E-01,4.953685E-01,4.656467E-01,4.330518E-01,3.981869E-01,3.617282E-01,3.244053E-01,2.869857E-01,2.502549E-01,2.149814E-01,1.818677E-01,1.514949E-01,1.242756E-01,1.004291E-01,7.998555E-02,6.281474E-02,4.866854E-02,3.722472E-02,2.812516E-02,2.100604E-02,1.552015E-02,1.135189E-02,8.225660E-03,5.908708E-03,4.209890E-03,2.976034E-03,2.087126E-03,1.451165E-03,9.990586E-04,6.798258E-04,4.562919E-04,3.014601E-04,1.956776E-04,1.245815E-04,7.767864E-05,4.736300E-05,2.819862E-05,1.636996E-05,1.955449E-01,1.685701E-01,1.439364E-01,1.216784E-01,1.017700E-01,8.414479E-02,6.871112E-02,5.535967E-02,4.396612E-02,3.439077E-02,2.647767E-02,2.005555E-02,1.494175E-02,1.094866E-02,7.891665E-03,5.596936E-03,3.907506E-03,2.687132E-03,1.821742E-03,1.218924E-03,8.060550E-04,5.276726E-04,3.425575E-04,2.208786E-04,1.415999E-04,9.025478E-05,5.712303E-05,3.580122E-05,2.212974E-05,1.342359E-05,7.945988E-06,4.563513E-06,2.528378E-06,1.344007E-06,6.819293E-07,3.286611E-07,1.497717E-07,6.424880E-08,2.583378E-08,9.695212E-09
