# mean, investigation_time=50.0
lon,lat,SA(2.0)-0.001,SA(2.0)-0.00123697383288,SA(2.0)-0.00153010426322,SA(2.0)-0.00189269893518,SA(2.0)-0.00234121905633,SA(2.0)-0.00289602670972,SA(2.0)-0.00358230925923,SA(2.0)-0.00443122281494,SA(2.0)-0.00548130666973,SA(2.0)-0.00678023292043,SA(2.0)-0.00838697070339,SA(2.0)-0.0103744632972,SA(2.0)-0.0128329396288,SA(2.0)-0.0158740105197,SA(2.0)-0.0196357356357,SA(2.0)-0.0242888911706,SA(2.0)-0.0300447228076,SA(2.0)-0.0371645359291,SA(2.0)-0.0459715584553,SA(2.0)-0.0568656148658,SA(2.0)-0.0703412775794,SA(2.0)-0.0870103197369,SA(2.0)-0.107629488705,SA(2.0)-0.133134861174,SA(2.0)-0.164684339516,SA(2.0)-0.203710218666,SA(2.0)-0.251984209979,SA(2.0)-0.311697874042,SA(2.0)-0.385562113954,SA(2.0)-0.476930245909,SA(2.0)-0.589950234297,SA(2.0)-0.729753002526,SA(2.0)-0.902685368588,SA(2.0)-1.11659818026,SA(2.0)-1.38120273082,SA(2.0)-1.70851163593,SA(2.0)-2.11338418681,SA(2.0)-2.6142009379,SA(2.0)-3.23369815406,SA(2.0)-4.0,SA(5.0)-0.0005,SA(5.0)-0.000629577552288,SA(5.0)-0.000792735788691,SA(5.0)-0.00099817731491,SA(5.0)-0.00125686006134,SA(5.0)-0.00158258176198,SA(5.0)-0.001992715904,SA(5.0)-0.0025091384025,SA(5.0)-0.00315939442759,SA(5.0)-0.00397816762087,SA(5.0)-0.00500913006668,SA(5.0)-0.00630727169295,SA(5.0)-0.00794183334813,SA(5.0)-0.01,SA(5.0)-0.0125915510458,SA(5.0)-0.0158547157738,SA(5.0)-0.0199635462982,SA(5.0)-0.0251372012268,SA(5.0)-0.0316516352395,SA(5.0)-0.0398543180801,SA(5.0)-0.0501827680499,SA(5.0)-0.0631878885519,SA(5.0)-0.0795633524175,SA(5.0)-0.100182601334,SA(5.0)-0.126145433859,SA(5.0)-0.158836666963,SA(5.0)-0.2,SA(5.0)-0.251831020915,SA(5.0)-0.317094315476,SA(5.0)-0.399270925964,SA(5.0)-0.502744024537,SA(5.0)-0.633032704791,SA(5.0)-0.797086361601,SA(5.0)-1.003655361,SA(5.0)-1.26375777104,SA(5.0)-1.59126704835,SA(5.0)-2.00365202667,SA(5.0)-2.52290867718,SA(5.0)-3.17673333925,SA(5.0)-4.0
-97.15000,49.89000,1.801348E-01,1.540639E-01,1.304452E-01,1.092669E-01,9.046680E-02,7.395286E-02,5.961552E-02,4.733296E-02,3.697093E-02,2.837999E-02,2.139354E-02,1.582885E-02,1.149216E-02,8.186894E-03,5.723340E-03,3.927255E-03,2.645978E-03,1.751342E-03,1.139744E-03,7.302259E-04,4.614533E-04,2.883216E-04,1.786254E-04,1.100461E-04,6.757332E-05,4.140090E-05,2.529140E-05,1.536399E-05,9.240164E-06,5.470606E-06,3.168289E-06,1.783375E-06,9.695625E-07,5.061497E-07,2.523470E-07,1.195518E-07,5.356993E-08,2.260309E-08,8.942150E-09,3.303034E-09,7.420884E-02,6.036796E-02,4.839846E-02,3.817856E-02,2.958513E-02,2.248788E-02,1.674471E-02,1.220058E-02,8.690720E-03,6.047348E-03,4.107964E-03,2.722907E-03,1.760768E-03,1.111149E-03,6.850464E-04,4.135075E-04,2.452072E-04,1.434918E-04,8.328517E-05,4.816530E-05,2.782739E-05,1.605325E-05,9.209247E-06,5.215946E-06,2.890156E-06,1.551284E-06,7.987156E-07,3.908543E-07,1.802469E-07,7.772843E-08,3.112229E-08,1.149514E-08,3.892803E-09,1.201604E-09,3.359909E-10,8.445676E-11,1.885180E-11,3.650868E-12,5.868739E-13,7.014481E-14
-94.43000,49.82000,1.913261E-01,1.643882E-01,1.398683E-01,1.177862E-01,9.810103E-02,8.073337E-02,6.558032E-02,5.252351E-02,4.143123E-02,3.215734E-02,2.453989E-02,1.840182E-02,1.355488E-02,9.806455E-03,6.968097E-03,4.863635E-03,3.335533E-03,2.248587E-03,1.491008E-03,9.734351E-04,6.266218E-04,3.984589E-04,2.508418E-04,1.566911E-04,9.730534E-05,6.012856E-05,3.695219E-05,2.253314E-05,1.358029E-05,8.046890E-06,4.659889E-06,2.620828E-06,1.422846E-06,7.413545E-07,3.687406E-07,1.742217E-07,7.783580E-08,3.273933E-08,1.291095E-08,4.753859E-09,7.994173E-02,6.543694E-02,5.284306E-02,4.203551E-02,3.288934E-02,2.527464E-02,1.905214E-02,1.407149E-02,1.017309E-02,7.193258E-03,4.971277E-03,3.356378E-03,2.213339E-03,1.425941E-03,8.982740E-04,5.542487E-04,3.358416E-04,2.005494E-04,1.184931E-04,6.952339E-05,4.059617E-05,2.358325E-05,1.358269E-05,7.706814E-06,4.271978E-06,2.291809E-06,1.178698E-06,5.759198E-07,2.650949E-07,1.140708E-07,4.556398E-08,1.678536E-08,5.668500E-09,1.744581E-09,4.862979E-10,1.218217E-10,2.708227E-11,5.221393E-12,8.356906E-13,9.780071E-14
-93.82000,51.05000,2.097860E-01,1.805272E-01,1.538148E-01,1.296900E-01,1.081287E-01,8.906413E-02,7.240159E-02,5.802622E-02,4.580457E-02,3.558322E-02,2.718761E-02,2.042359E-02,1.508279E-02,1.095136E-02,7.820168E-03,5.494357E-03,3.800392E-03,2.589961E-03,1.740869E-03,1.155679E-03,7.589840E-04,4.940465E-04,3.193362E-04,2.052624E-04,1.312903E-04,8.351771E-05,5.273467E-05,3.294098E-05,2.026551E-05,1.221471E-05,7.172445E-06,4.079749E-06,2.235504E-06,1.173858E-06,5.877958E-07,2.793959E-07,1.255222E-07,5.307928E-08,2.104115E-08,7.787261E-09,8.842808E-02,7.241908E-02,5.849965E-02,4.654381E-02,3.642193E-02,2.799561E-02,2.111324E-02,1.560851E-02,1.130330E-02,8.014343E-03,5.561844E-03,3.777762E-03,2.512145E-03,1.636815E-03,1.046507E-03,6.580447E-04,4.081664E-04,2.505880E-04,1.527546E-04,9.264568E-05,5.590857E-05,3.348784E-05,1.981061E-05,1.149454E-05,6.487977E-06,3.531504E-06,1.837607E-06,9.064461E-07,4.205363E-07,1.821644E-07,7.318014E-08,2.709450E-08,9.191265E-09,2.840497E-09,7.948953E-10,1.998969E-10,4.460568E-11,8.637293E-12,1.390500E-12,1.651225E-13
-93.55000,49.80000,1.965142E-01,1.692535E-01,1.443733E-01,1.219106E-01,1.018388E-01,8.408910E-02,6.856629E-02,5.515672E-02,4.373142E-02,3.414579E-02,2.623891E-02,1.983475E-02,1.474615E-02,1.078166E-02,7.753590E-03,5.485938E-03,3.820444E-03,2.620303E-03,1.771416E-03,1.181667E-03,7.788871E-04,5.081143E-04,3.286179E-04,2.110110E-04,1.346415E-04,8.535795E-05,5.368572E-05,3.340199E-05,2.047354E-05,1.230077E-05,7.204050E-06,4.089257E-06,2.237198E-06,1.173404E-06,5.871019E-07,2.789229E-07,1.252721E-07,5.296563E-08,2.099492E-08,7.770041E-09,8.276568E-02,6.793963E-02,5.504475E-02,4.395673E-02,3.455025E-02,2.669491E-02,2.025132E-02,1.506942E-02,1.099020E-02,7.850652E-03,5.490388E-03,3.758425E-03,2.518620E-03,1.653169E-03,1.064066E-03,6.728440E-04,4.190315E-04,2.577851E-04,1.571202E-04,9.508650E-05,5.716940E-05,3.408896E-05,2.007364E-05,1.159866E-05,6.523995E-06,3.541389E-06,1.838933E-06,9.057198E-07,4.197434E-07,1.816856E-07,7.295262E-08,2.700250E-08,9.158657E-09,2.830214E-09,7.919893E-10,1.991613E-10,4.443817E-11,8.608045E-12,1.385820E-12,1.641676E-13
-93.39000,48.61000,1.716145E-01,1.475176E-01,1.256044E-01,1.058817E-01,8.830583E-02,7.280122E-02,5.927267E-02,4.761182E-02,3.769869E-02,2.940076E-02,2.257199E-02,1.705374E-02,1.267851E-02,9.276089E-03,6.680876E-03,4.738722E-03,3.312072E-03,2.282846E-03,1.553146E-03,1.044311E-03,6.949385E-04,4.583775E-04,3.001084E-04,1.952323E-04,1.262285E-04,8.104925E-05,5.157612E-05,3.242309E-05,2.005038E-05,1.213653E-05,7.152095E-06,4.080831E-06,2.242294E-06,1.180390E-06,5.924443E-07,2.822273E-07,1.270688E-07,5.385292E-08,2.139907E-08,7.941106E-09,7.173775E-02,5.878922E-02,4.755102E-02,3.790877E-02,2.974808E-02,2.295036E-02,1.738913E-02,1.292876E-02,9.426384E-03,6.736654E-03,4.717844E-03,3.237742E-03,2.178168E-03,1.437635E-03,9.322452E-04,5.951517E-04,3.750253E-04,2.339007E-04,1.447375E-04,8.897637E-05,5.431358E-05,3.283476E-05,1.956433E-05,1.141439E-05,6.470560E-06,3.534502E-06,1.844850E-06,9.126069E-07,4.245440E-07,1.843885E-07,7.427001E-08,2.757283E-08,9.380543E-09,2.908187E-09,8.167347E-10,2.062600E-10,4.626177E-11,9.010832E-12,1.464056E-12,1.763130E-13
-92.75000,49.78000,1.998812E-01,1.722827E-01,1.470680E-01,1.242846E-01,1.039122E-01,8.588539E-02,7.010963E-02,5.647075E-02,4.483857E-02,3.506712E-02,2.699439E-02,2.044356E-02,1.522706E-02,1.115309E-02,8.033464E-03,5.691283E-03,3.966905E-03,2.721692E-03,1.839422E-03,1.225774E-03,8.064789E-04,5.247120E-04,3.381867E-04,2.162808E-04,1.374074E-04,8.674208E-05,5.435010E-05,3.371314E-05,2.062052E-05,1.237402E-05,7.243736E-06,4.112328E-06,2.250926E-06,1.181380E-06,5.914927E-07,2.811800E-07,1.263508E-07,5.344561E-08,2.119453E-08,7.847944E-09,8.435254E-02,6.930652E-02,5.621334E-02,4.494740E-02,3.538178E-02,2.738441E-02,2.081446E-02,1.552083E-02,1.134400E-02,8.120732E-03,5.690492E-03,3.901867E-03,2.617829E-03,1.719203E-03,1.106256E-03,6.986463E-04,4.340882E-04,2.661398E-04,1.615143E-04,9.727343E-05,5.820178E-05,3.455625E-05,2.028170E-05,1.169380E-05,6.570711E-06,3.566288E-06,1.852810E-06,9.133712E-07,4.237391E-07,1.836125E-07,7.380007E-08,2.734081E-08,9.281091E-09,2.870405E-09,8.039487E-10,2.023806E-10,4.522559E-11,8.765519E-12,1.414207E-12,1.685540E-13
-91.98000,50.07000,2.064526E-01,1.780154E-01,1.520116E-01,1.284973E-01,1.074575E-01,8.882982E-02,7.252076E-02,5.841568E-02,4.638249E-02,3.627198E-02,2.791777E-02,2.113776E-02,1.573845E-02,1.152179E-02,8.293360E-03,5.870202E-03,4.087081E-03,2.800371E-03,1.889571E-03,1.256845E-03,8.251520E-04,5.355703E-04,3.442787E-04,2.195700E-04,1.391136E-04,8.759218E-05,5.475778E-05,3.390208E-05,2.070553E-05,1.241117E-05,7.259345E-06,4.118441E-06,2.252998E-06,1.181859E-06,5.914419E-07,2.810213E-07,1.262202E-07,5.336542E-08,2.115271E-08,7.828576E-09,8.730610E-02,7.174534E-02,5.819837E-02,4.653797E-02,3.663476E-02,2.835339E-02,2.154896E-02,1.606562E-02,1.173863E-02,8.399330E-03,5.881756E-03,4.029272E-03,2.699994E-03,1.770396E-03,1.137004E-03,7.164069E-04,4.439248E-04,2.713453E-04,1.641363E-04,9.852596E-05,5.876797E-05,3.479846E-05,2.038004E-05,1.173179E-05,6.584580E-06,3.570887E-06,1.854013E-06,9.134564E-07,4.235559E-07,1.834383E-07,7.369223E-08,2.728682E-08,9.257927E-09,2.861684E-09,8.010340E-10,2.015050E-10,4.499015E-11,8.713561E-12,1.403335E-12,1.670144E-13
-91.62000,48.75000,1.832948E-01,1.577654E-01,1.344982E-01,1.135185E-01,9.479356E-02,7.825256E-02,6.380089E-02,5.132764E-02,4.070820E-02,3.180398E-02,2.446184E-02,1.851535E-02,1.378877E-02,1.010330E-02,7.284598E-03,5.169796E-03,3.612847E-03,2.487665E-03,1.689084E-03,1.132105E-03,7.500062E-04,4.918510E-04,3.197808E-04,2.063844E-04,1.323136E-04,8.423931E-05,5.318025E-05,3.319554E-05,2.040574E-05,1.229208E-05,7.216420E-06,4.105616E-06,2.250953E-06,1.182957E-06,5.929517E-07,2.821640E-07,1.269200E-07,5.374158E-08,2.133541E-08,7.909774E-09,7.694952E-02,6.314243E-02,5.114583E-02,4.084032E-02,3.210585E-02,2.481772E-02,1.884304E-02,1.403947E-02,1.025724E-02,7.343947E-03,5.150632E-03,3.537824E-03,2.380186E-03,1.569410E-03,1.015351E-03,6.457078E-04,4.046147E-04,2.505153E-04,1.536616E-04,9.354871E-05,5.654278E-05,3.386673E-05,2.001695E-05,1.160184E-05,6.543391E-06,3.560705E-06,1.853341E-06,9.149238E-07,4.249618E-07,1.843427E-07,7.417353E-08,2.751012E-08,9.350009E-09,2.895683E-09,8.122932E-10,2.048692E-10,4.588287E-11,8.918099E-12,1.444196E-12,1.730636E-13
-91.13000,49.25000,1.953849E-01,1.683441E-01,1.436532E-01,1.213546E-01,1.014254E-01,8.379917E-02,6.838179E-02,5.506005E-02,4.370506E-02,3.417245E-02,2.630197E-02,1.991904E-02,1.483875E-02,1.087252E-02,7.835844E-03,5.555742E-03,3.876493E-03,2.663133E-03,1.802670E-03,1.203481E-03,7.934505E-04,5.174008E-04,3.342605E-04,2.142696E-04,1.364270E-04,8.628763E-05,5.414951E-05,3.362833E-05,2.058574E-05,1.235989E-05,7.237885E-06,4.109796E-06,2.249774E-06,1.180838E-06,5.912371E-07,2.810623E-07,1.262990E-07,5.342399E-08,2.118603E-08,7.844795E-09,8.234108E-02,6.762755E-02,5.482999E-02,4.382447E-02,3.448572E-02,2.668327E-02,2.027791E-02,1.512032E-02,1.105313E-02,7.915720E-03,5.550612E-03,3.809722E-03,2.559409E-03,1.683697E-03,1.085677E-03,6.873515E-04,4.282724E-04,2.633657E-04,1.603097E-04,9.680964E-05,5.805066E-05,3.451894E-05,2.027760E-05,1.169584E-05,6.572275E-06,3.566830E-06,1.852854E-06,9.132838E-07,4.236576E-07,1.835629E-07,7.377520E-08,2.732990E-08,9.276856E-09,2.868945E-09,8.035084E-10,2.022605E-10,4.519826E-11,8.758783E-12,1.413651E-12,1.682474E-13
-90.57000,49.25000,1.967575E-01,1.695130E-01,1.446379E-01,1.221719E-01,1.020910E-01,8.432850E-02,6.879054E-02,5.536447E-02,4.392182E-02,3.431820E-02,2.639276E-02,1.996957E-02,1.486177E-02,1.087838E-02,7.832331E-03,5.548196E-03,3.868182E-03,2.655747E-03,1.796852E-03,1.199268E-03,7.905982E-04,5.155822E-04,3.331678E-04,2.136539E-04,1.361050E-04,8.613402E-05,5.408466E-05,3.360545E-05,2.057991E-05,1.235939E-05,7.238187E-06,4.109696E-06,2.249299E-06,1.180267E-06,5.907592E-07,2.807376E-07,1.261087E-07,5.332496E-08,2.113940E-08,7.824747E-09,8.305316E-02,6.820719E-02,5.529196E-02,4.418405E-02,3.475846E-02,2.688457E-02,2.042244E-02,1.522149E-02,1.112253E-02,7.962829E-03,5.582664E-03,3.831889E-03,2.575133E-03,1.695121E-03,1.094077E-03,6.934875E-04,4.326405E-04,2.663444E-04,1.622281E-04,9.796285E-05,5.869152E-05,3.484551E-05,2.042905E-05,1.175916E-05,6.595701E-06,3.574136E-06,1.854455E-06,9.132334E-07,4.233218E-07,1.833035E-07,7.363058E-08,2.726265E-08,9.249716E-09,2.859241E-09,8.004163E-10,2.013715E-10,4.497026E-11,8.709334E-12,1.404522E-12,1.670856E-13
