 197712010635  3.0  -127.440   62.330   GSC     18.00 G Mwp  3.0 ML     3.00
 197712222234  3.1  -126.910   63.210   GSC     18.00 G Mwp  3.1 MN     3.10
 197803300244  3.2  -131.500   64.990   GSC     18.00 G Mwp  3.2 ML     3.20
 197805170357  3.1  -126.470   62.720   GSC     18.00 G Mwp  3.1 MN     3.10
 197811290318  3.1  -125.550   61.420   GSC     18.00 G Mwp  3.1 ML     3.10
 197901071607  3.2  -128.700   63.170   GSC     18.00 G Mwp  3.2 ML     3.20
 197906070800  3.2  -128.070   63.860   GSC     18.00 G Mwp  3.2 MN     3.20
 197907041749  3.1  -130.630   64.600   GSC     18.00 G Mwp  3.1 ML     3.10
 197610180802  2.7  -125.370   62.920   GSC     18.00 G Mwp  2.7 MN     2.70
 198003041734  3.2  -130.750   64.250   GSC     18.00 G Mwp  3.2 MN     3.20
 197611290552  2.5  -125.680   62.370   GSC     18.00 G Mwp  2.5 MN     2.50
 197611291019  2.7  -125.710   62.360   GSC     18.00 G Mwp  2.7 MN     2.70
 197701141334  2.8  -124.250   62.350   GSC     18.00 G Mwp  2.8 MN     2.80
 198102250931  3.2  -123.380   63.440   GSC     18.00 G Mwp  3.2 MN     3.20
 198102251242  3.1  -123.360   63.410   GSC     18.00 G Mwp  3.1 MN     3.10
 197709110751  2.8  -125.280   63.480   GSC     18.00 G Mwp  2.8 MN     2.80
 198103260046  3.1  -130.230   63.830   GSC     18.00 G Mwp  3.1 ML     3.10
 198104031025  3.1  -123.270   63.390   GSC     18.00 G Mwp  3.1 MN     3.10
 197712290322  2.9  -126.690   63.720   GSC     18.00 G Mwp  2.9 MN     2.90
 198104032147  3.1  -123.470   63.380   GSC     18.00 G Mwp  3.1 MN     3.10
 198104280152  3.2  -128.560   63.300   GSC     18.00 G Mwp  3.2 ML     3.20
 197811290255  2.6  -125.570   61.480   GSC     18.00 G Mwp  2.6 ML     2.60
 198111231054  3.2  -125.020   63.250   GSC     18.00 G Mwp  3.2 MN     3.20
 198112240922  3.0  -129.370   63.160   GSC     18.00 G Mwp  3.0 ML     3.00
