 198411290903  3.3  -124.980   63.590   GSC     18.00 G Mwp  3.3 ML     3.30
 198507191427  3.0  -126.500   61.170   GSC     18.00 G Mwp  3.0 ML     3.00
 198510051524  6.6  -124.163   62.134   GEM     10.00   Mw   6.6 Mw     6.60
 198510051558  4.2  -124.240   62.190   GSC     10.00 G Mwp  4.2 ML     4.20
 198510051600  4.1  -124.240   62.190   GSC     10.00 G Mwp  4.1 ML     4.10
 198510051607  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 ML     3.10
 198510051642  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510051649  3.5  -124.142   62.084   GSC     10.00 G Mwp  3.5 MN     3.50
 198510051655  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510051702  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510051720  3.6  -124.240   62.190   GSC     10.00 G Mwp  3.6 MN     3.60
 198510051731  4.2  -124.174   61.858   GSC     10.00 G Mwp  4.2 ML     4.20
 198510051732  4.3  -124.345   62.214   GSC     10.00 G Mwp  4.3 MN     4.30
 198510051741  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510051744  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510051752  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510051759  3.8  -124.337   62.256   GSC     10.00 G Mwp  3.8 MN     3.80
 198510051815  4.0  -124.285   62.058   GSC     10.00 G Mwp  4.0 MN     4.00
 198510051838  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510051843  3.4  -124.286   62.262   GSC     10.00 G Mwp  3.4 MN     3.40
 198510051850  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510051900  3.6  -124.240   62.190   GSC     10.00 G Mwp  3.6 MN     3.60
 198510051907  4.3  -124.261   62.010   GSC     10.00 G Mwp  4.3 MN     4.30
 198510051913  4.1  -124.272   62.062   GSC     10.00 G Mwp  4.1 MN     4.10
 198510051942  4.1  -124.259   62.105   GSC     10.00 G Mwp  4.1 MN     4.10
 198510052007  3.3  -124.193   62.051   GSC     10.00 G Mwp  3.3 MN     3.30
 198510052034  3.5  -124.240   62.190   GSC     10.00 G Mwp  3.5 MN     3.50
 198510052039  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510052126  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510052148  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510052219  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510052223  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510052230  3.5  -124.357   62.055   GSC     10.00 G Mwp  3.5 MN     3.50
 198510052241  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510052306  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510052317  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510052345  3.3  -124.091   61.904   GSC     10.00 G Mwp  3.3 MN     3.30
 198510052348  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510052350  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510060021  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510060115  4.9  -124.292   62.058   GSC     10.00 G Mwp  5.0 MB     4.92
 198510060122  4.2  -124.257   62.035   GSC     10.00 G Mwp  4.2 MN     4.20
 198510060216  4.3  -124.228   61.965   GSC     10.00 G Mwp  4.3 MN     4.30
 198510060401  3.6  -124.274   62.054   GSC     10.00 G Mwp  3.6 MN     3.60
 198510060708  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510060803  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510060835  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510060934  3.6  -124.219   61.986   GSC     10.00 G Mwp  3.6 MN     3.60
 198510061316  3.7  -124.227   62.034   GSC     10.00 G Mwp  3.7 MN     3.70
 198510061357  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510061401  4.0  -124.252   62.032   GSC     10.00 G Mwp  4.0 MN     4.00
 198510061409  3.5  -124.240   62.190   GSC     10.00 G Mwp  3.5 MN     3.50
 198510061439  3.9  -124.231   62.299   GSC     10.00 G Mwp  3.9 MN     3.90
 198510061452  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510061653  3.9  -124.208   62.261   GSC     10.00 G Mwp  3.9 MN     3.90
 198510061806  3.6  -124.307   62.049   GSC     10.00 G Mwp  3.6 MN     3.60
 198510061822  3.7  -124.270   62.301   GSC     10.00 G Mwp  3.7 MN     3.70
 198510061915  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510061921  3.1  -124.240   62.180   GSC     10.00 G Mwp  3.1 MN     3.10
 198510062316  3.3  -124.308   62.309   GSC     10.00 G Mwp  3.3 MN     3.30
 198510070210  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510070310  3.7  -124.311   62.251   GSC     10.00 G Mwp  3.7 MN     3.70
 198510070312  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510070324  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510070347  3.0  -124.240   62.180   GSC     10.00 G Mwp  3.0 MN     3.00
 198510070416  3.7  -124.313   61.948   GSC     10.00 G Mwp  3.7 MN     3.70
 198510070426  3.8  -124.301   62.378   GSC     10.00 G Mwp  3.8 MN     3.80
 198510070721  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510070841  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510071013  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510071016  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510071213  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510071247  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510071517  3.7  -124.164   62.058   GSC     10.00 G Mwp  3.7 MN     3.70
 198510071724  3.4  -124.254   62.353   GSC     10.00 G Mwp  3.4 MN     3.40
 198510071942  3.5  -124.237   62.330   GSC     10.00 G Mwp  3.5 MN     3.50
 198510072359  3.3  -124.327   62.290   GSC     10.00 G Mwp  3.3 MN     3.30
 198510080003  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510080109  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510080358  3.5  -124.362   61.964   GSC     10.00 G Mwp  3.5 MN     3.50
 198510081258  3.4  -124.294   62.137   GSC     10.00 G Mwp  3.4 MN     3.40
 198510081628  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510081930  3.5  -124.122   61.901   GSC     10.00 G Mwp  3.5 MN     3.50
 198510081943  3.7  -124.328   62.107   GSC     10.00 G Mwp  3.7 MN     3.70
 198510082238  3.5  -124.222   62.132   GSC     10.00 G Mwp  3.5 MN     3.50
 198510090106  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198510090235  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510090321  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510090643  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510090927  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510091153  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510091628  4.0  -124.353   62.276   GSC     10.00 G Mwp  4.0 MN     4.00
 198510091659  3.4  -124.240   62.190   GSC     10.00 G Mwp  3.4 MN     3.40
 198510091752  3.5  -124.235   62.026   GSC     10.00 G Mwp  3.5 MN     3.50
 198510091846  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510100354  3.6  -124.160   62.321   GSC     10.00 G Mwp  3.6 MN     3.60
 198510100522  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510100852  4.5  -124.192   62.108   GSC     10.00 G Mwp  4.5 MN     4.50
 198510100906  3.5  -124.284   62.335   GSC     10.00 G Mwp  3.5 MN     3.50
 198510101133  3.4  -124.265   62.343   GSC     10.00 G Mwp  3.4 MN     3.40
 198510101514  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198510102008  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198510110118  3.5  -124.080   61.958   GSC     10.00 G Mwp  3.5 MN     3.50
 198510110405  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198510111433  3.7  -124.317   62.241   GSC     10.00 G Mwp  3.7 MN     3.70
 198510111634  3.7  -124.447   62.277   GSC     10.00 G Mwp  3.7 MN     3.70
 198510120018  3.6  -124.242   62.064   GSC     10.00 G Mwp  3.6 MN     3.60
 198510120023  3.4  -124.403   62.160   GSC     10.00 G Mwp  3.4 MN     3.40
 198510120322  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198510120525  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
