SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BETA_BEST,BETA_LOWER,BETA_UPPER,BETA_FIX,BETA_FIX_S,YCOMP,MCOMP,YMAX,SHEEF_FILE
20130709_WA_H_Model_v6,BMC,area,5.00000e,1.50000e,1.00000e,2.00000e,7.00000e,2.4,7.84000e,7.56000e,8.13000e,1e-30,0.0265,0.0103,nan,0.0002,0.0002,-99,-99,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,FULL
BMC - BEAUFORT-MACKENZIE CONVERGENCE 0 activity rate,BMC,area,5.00000e,1.50000e,1.00000e,2.00000e,7.00000e,2.4,7.84000e,7.56000e,8.13000e,1e-30,0.0,0.0,nan,0.0002,0.0002,-99,-99,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,FULL
QCFA - QUEEN CHARLOTTE FAULT - AREA,QCFA,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,6.70000e,6.50000e,6.90000e,6568.724,18843.96,2235.241,1.826086,2.072848,1.579325,-99,-99,1961;1957;1935;1917,5.0;5.5;6.0;6.3,2015,FULL
FWFA - FAIRWEATHER FAULT - AREA,FWFA,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,6.70000e,6.50000e,6.90000e,70.86342,172.7011,26.43359,1.202185,1.454639,0.949732,-99,-99,1961;1957;1935;1917,5.0;5.5;6.0;6.3,2015,FULL
FTH  -  FOOTHILLS,FTH,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.00000e,6.90000e,7.50000e,3495.692,7899.865,1523.757,2.486085,2.796123,2.176047,-99,-99,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015,FULL
NBC - NORTHERN BRITISH COLUMBIA,NBC,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,6.90000e,7.50000e,8638.805,125947.3,557.6856,3.300970,4.303472,2.298469,-99,-99,1982;1965;1940;1917,3.0;3.3;5.3;5.8,2015,FULL
ROCN - ROCKY MOUNTAIN FOLD/THRUST BELT NORTH,ROCN,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,7.00000e,7.70000e,1110.540,5806.649,203.8987,2.415458,3.030967,1.799950,-99,-99,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015,FULL
CST  -  COASTAL MOUNTAINS REVISED OCT 2013 (was CSTN and CSTS(placeholder - not included) in Trial 2,CST,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,6.90000e,7.50000e,17868.24,103324.0,2966.429,2.890173,3.447353,2.332993,-99,-99,1972;1965;1940;1917;1899,3.6;4.3;5.3;5.8;6.8,2015,FULL
ADRN   - NORTHERN ADIRONDACKS NORTH,ADRN,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,20.71435,37.08940,10.96003,1.603375,1.934007,1.272743,-99,-99,1968;1963;1938;1920;1880;1850;1660,2.6;2.8;3.3;4.3;4.8;6.0;6.7,2015,FULL
ADRS   - NORTHERN ADIRONDACKS SOUTH,ADRS,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,108.2984,293.7305,38.19356,2.139534,2.622521,1.656548,-99,-99,1968;1963;1938;1920;1880;1850;1660,2.6;2.8;3.3;4.3;4.8;6.0;6.7,2015,FULL
AOBH   - ATLANTIC OFFSHORE BACKGROUND,AOBH,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,286.9631,1406.786,57.40201,2.051282,2.618814,1.483749,-99,-99,1983;1965;1953;1950;1930;1920,3.5;3.8;4.8;5.4;6.0;6.7,2015,FULL
AOH    - ANNA OHIO,AOH,area,1.00000e,5.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,1.159193,1.191447,1.105960,0.860215,1.024751,0.695678,-99,-99,1976;1940;1920;1900;1850;1790,2.7;3.3;3.8;4.3;4.8;5.4,2015,FULL
BSL    - BAS SAINT LAURENT,BSL,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,402.2776,554.0213,289.1452,2.191603,2.372872,2.010335,-99,-99,1975;1963;1938;1928;1900;1850,2.4;2.8;3.8;4.3;4.8;6.0,2015,FULL
BSLE   - BAS SAINT LAURENT EAST,BSLE,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,37.70341,69.38682,19.46292,1.851851,2.219103,1.484599,-99,-99,1975;1963;1938;1928;1900;1850,2.4;2.8;3.8;4.3;4.8;6.0,2015,FULL
BSLW   - BAS SAINT LAURENT WEST,BSLW,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,105.1518,251.4342,41.88132,2.270270,2.745995,1.794544,-99,-99,1975;1963;1938;1928;1900;1850,2.4;2.8;3.8;4.3;4.8;6.0,2015,FULL
CHA    - CHAMPLAIN,CHA,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,18.03968,44.08097,6.767343,1.666666,2.132357,1.200976,-99,-99,1968;1963;1938;1928;1920;1880;1660,2.7;2.8;3.3;3.8;4.3;4.8;6.0,2015,FULL
CHV    - CHARLEVOIX,CHV,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,191.6188,225.8601,161.4991,1.779154,1.885111,1.673198,-99,-99,1968;1963;1938;1928;1920;1880;1790;1660,2.4;2.8;3.3;3.8;4.3;4.8;5.4;6.,2015,FULL
CLO    - CENTRAL LAKE ONTARIO,CLO,area,1.00000e,5.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,31.02808,167.5699,5.469354,2.325581,3.283939,1.367223,-99,-99,1980;1963;1938;1920;1870;1850,2.4;2.8;3.3;4.3;5.3;6.0,2015,FULL
CNH    - CENTRAL NEW HAMPSHIRE,CNH,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,5.870517,10.13923,3.156188,1.217391,1.553640,0.881142,-99,-99,1972;1963;1953;1938;1900;1850,2.6;2.8;3.3;3.8;4.8;6.0,2015,FULL
COCN   - COCHRANE NORTH,COCN,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,70.52101,153.5003,30.49290,2.138364,2.587543,1.689185,-99,-99,1982;1963;1938;1900;1850,2.4;2.8;4.3;4.8;6.0,2015,FULL
COCS   - COCHRANE SOUTH,COCS,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,20.80511,28.53568,14.18702,2.105263,2.483728,1.726797,-99,-99,1982;1963;1938;1900;1850,2.4;2.8;4.3;4.8;6.0,2015,FULL
GAT    - GATINEAU,GAT,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,1057.707,1304.026,854.4135,2.244052,2.361232,2.126872,-99,-99,1975;1963;1938;1928;1900;1850,2.4;2.8;3.3;3.8;4.8;6.0,2015,FULL
GATW   - GATINEAU WEST,GATW,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,9.910506,18.46586,4.835366,1.517241,1.917716,1.116765,-99,-99,1975;1963;1938;1928;1900;1850,2.4;2.8;3.3;3.8;4.8;6.0,2015,FULL
GNS    - GULF OF ST. LAWRENCE (NORTH SHORE),GNS,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,36.83063,63.01493,20.33065,1.914893,2.257804,1.571983,-99,-99,1975;1963;1938;1928;1900;1850,2.4;2.8;3.3;4.3;4.8;6.0,2015,FULL
