SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BETA_BEST,BETA_LOWER,BETA_UPPER,BETA_FIX,BETA_FIX_S,YCOMP,MCOMP,YMAX,SHEEF_FILE
WLO    - WESTERN LAKE ONTARIO,WLO,area,1.00000e,5.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,12.20072,19.79793,7.101136,1.44,1.760374,1.119625,-99,-99,1980;1963;1938;1920;1870;1850,2.4;2.8;3.3;4.3;5.3;6.0,2015,FULL
BRO  -  BROOKS PENINSULA,BRO,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,6.90000e,7.50000e,12.29886,15.25175,9.587087,1.102941,1.273056,0.932825,-99,-99,1982;1965;1956;1940;1917;1899,2.5;3.3;3.8;4.8;5.3;6.8,2015,FULL
CAS  -  CASCADE MOUNTAINS,CAS,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,6.90000e,7.50000e,566.6023,1266.084,247.9328,2.521008,2.915071,2.126945,-99,-99,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,FULL
EXP  -  EXPLORER PLATE BENDING,EXP,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.00000e,6.90000e,7.30000e,1739.412,2249.323,1339.372,1.908972,2.018985,1.798959,-99,-99,1983;1965;1917;1899,3.0;3.3;5.3;6.8,2015,FULL
FHL  -  FLATHEAD LAKE,FHL,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.30000e,7.20000e,7.70000e,64.98789,85.18353,48.20308,1.294964,1.448499,1.141428,-99,-99,1993;1960;1940;1917;1899,3.0;4.0;4.8;5.3;5.8,2015,FULL
GTP  -  GEORGIA STRAIT/PUGET SOUND (DEEP),GTP,area,1.00000e,5.00000e,5.00000e,5.00000e,4.80000e,2.4,7.20000e,7.00000e,7.50000e,573.4789,655.6389,500.1815,1.713403,1.790474,1.636333,-99,-99,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,FULL
HEC  -  HECATE STRAIT,HEC,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,6.90000e,7.50000e,892.3996,1184.673,667.3621,2.129112,2.281062,1.977162,-99,-99,1986;1985;1971;1965;1940;1917;1899,2.5;2.8;3.3;3.8;5.3;5.8;6.8,2015,FULL
JDFF  -  JUAN DE FUCA PLATE BENDING, OFFSHORE,JDFF,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.00000e,6.90000e,7.30000e,78.57193,124.5865,48.39990,1.709741,1.965434,1.454048,-99,-99,1982;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,FULL
JDFN  -  JUAN DE FUCA PLATE BENDING, ONSHORE (DEEP),JDFN,area,1.00000e,3.50000e,3.00000e,4.00000e,4.80000e,2.4,7.00000e,6.90000e,7.30000e,35.32112,48.22081,25.44106,1.276595,1.460080,1.093111,-99,-99,1982;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,FULL
NOFR  -  NOOTKA FAULT,NOFR,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.00000e,6.90000e,7.30000e,2652.764,2957.810,2375.851,1.961436,2.021421,1.901452,-99,-99,1982;1965;1956;1940;1917;1899,2.5;3.3;3.8;4.8;5.3;6.8,2015,FULL
OFS  -  OFFSHORE,OFS,area,1.00000e,7.00000e,5.00000e,1.00000e,4.80000e,2.4,7.00000e,6.90000e,7.30000e,276582.9,365861.6,208797.8,2.317828,2.392619,2.243038,-99,-99,1965;1917;1899,4.3;5.3;6.8,2015,FULL
OLM  -  OLYMPIC MOUNTAINS,OLM,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.50000e,7.40000e,7.70000e,41.26956,52.45819,32.01638,1.290322,1.439418,1.141226,-99,-99,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;7.3,2015,FULL
PGT  -  PUGET SOUND shallow,PGT,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.50000e,7.40000e,7.70000e,1088.907,1263.853,935.8261,1.913896,1.995672,1.832121,-99,-99,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;7.3,2015,FULL
ROCS  -  ROCKY MOUNTAIN FOLD/THRUST BELT SOUTH,ROCS,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,7.00000e,7.70000e,4175.080,7492.461,2303.477,2.436144,2.662233,2.210054,-99,-99,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015,FULL
SBC  -  SOUTHERN BRITISH COLUMBIA,SBC,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,6.90000e,7.50000e,2506.013,5667.023,1087.662,2.596153,2.922339,2.269967,-99,-99,1966;1965;1960;1940;1917;1899,3.0;3.3;4.3;4.8;5.3;5.8,2015,FULL
VICM  -   VANCOUVER ISLAND COAST MOUNTAINS,VICM,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.50000e,7.40000e,7.70000e,397.4426,491.0728,319.8156,1.842881,1.961403,1.724359,-99,-99,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;7.3,2015,FULL
WLB - Williston Basin,WLB,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.00000e,6.80000e,7.20000e,1e-30,32.06,2.85,nan,2.2144,0.9149,-99,-99,1982;1975;1963;1953;1900;1850,2.4;2.8;3.3;4.3;4.8;6.0,2015,FULL
