ordinal,uid,model,gsim,weight
0,b1~b11_b21_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Abrah,0.00390625
1,b1~b11_b21_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() Abr,0.00390625
2,b1~b11_b21_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() Abrahamso,0.00390625
3,b1~b11_b21_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadia(,0.00390625
4,b1~b11_b21_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AbrahamsonEtAl2015SSlab() Abrahamson,0.00390625
5,b1~b11_b21_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() Abrahams,0.00390625
6,b1~b11_b21_b32_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEtAl,0.00390625
7,b1~b11_b21_b32_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Abr,0.00390625
8,b1~b11_b21_b33_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Ab,0.00390625
9,b1~b11_b21_b33_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() ,0.00390625
10,b1~b11_b21_b33_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Abraha,0.00390625
11,b1~b11_b21_b33_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascad,0.00390625
12,b1~b11_b21_b34_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Abrahams,0.00390625
13,b1~b11_b21_b34_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() Abraha,0.00390625
14,b1~b11_b21_b34_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() GarciaEtAl2005SSlab() AbrahamsonEt,0.00390625
15,b1~b11_b21_b34_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() A,0.00390625
16,b1~b11_b22_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Abr,0.00390625
17,b1~b11_b22_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() A,0.00390625
18,b1~b11_b22_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() Abraham,0.00390625
19,b1~b11_b22_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadi,0.00390625
20,b1~b11_b22_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AbrahamsonEtAl2015SSlab() Abrahams,0.00390625
21,b1~b11_b22_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() Abraha,0.00390625
22,b1~b11_b22_b32_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEt,0.00390625
23,b1~b11_b22_b32_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() A,0.00390625
24,b1~b11_b22_b33_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() ,0.00390625
25,b1~b11_b22_b33_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia(,0.00390625
26,b1~b11_b22_b33_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Abra,0.00390625
27,b1~b11_b22_b33_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCasc,0.00390625
28,b1~b11_b22_b34_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Abraha,0.00390625
29,b1~b11_b22_b34_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() Abra,0.00390625
30,b1~b11_b22_b34_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() GarciaEtAl2005SSlab() Abrahamson,0.00390625
