# mean, investigation_time=50.0
lon,lat,0.02~SA(1.0),0.02~SA(2.0),0.1~SA(1.0),0.1~SA(2.0)
-97.15000,49.89000,2.117095E-02,8.673985E-03,5.666290E-03,2.050069E-03
-94.43000,49.82000,2.381393E-02,9.627555E-03,6.255398E-03,2.244949E-03
-93.82000,51.05000,2.556922E-02,1.039568E-02,6.876650E-03,2.503811E-03
-93.55000,49.80000,2.535053E-02,1.017707E-02,6.554889E-03,2.345388E-03
-93.39000,48.61000,2.277986E-02,9.073728E-03,5.623490E-03,1.984166E-03
-92.75000,49.78000,2.596188E-02,1.041348E-02,6.720950E-03,2.399001E-03
-91.98000,50.07000,2.654005E-02,1.066685E-02,6.947987E-03,2.490720E-03
-91.62000,48.75000,2.423377E-02,9.655139E-03,6.078028E-03,2.155138E-03
-91.13000,49.25000,2.549906E-02,1.021007E-02,6.542275E-03,2.334411E-03
-90.57000,49.25000,2.544234E-02,1.022930E-02,6.564716E-03,2.351826E-03
-90.00000,53.83000,2.259586E-02,9.436998E-03,6.473773E-03,2.430332E-03
-89.93000,48.83000,2.460142E-02,9.977444E-03,6.359721E-03,2.299420E-03
-89.32000,48.40000,2.343309E-02,9.682169E-03,6.169013E-03,2.264343E-03
-89.03000,50.30000,2.561257E-02,1.075096E-02,7.224344E-03,2.709640E-03
-88.53000,48.78000,2.401942E-02,1.015596E-02,6.665469E-03,2.493457E-03
-87.88000,52.23000,2.463815E-02,1.054090E-02,7.298541E-03,2.818443E-03
-87.52000,49.68000,2.523715E-02,1.085595E-02,7.303396E-03,2.800941E-03
-87.25000,48.80000,2.492380E-02,1.078471E-02,7.069929E-03,2.700335E-03
-86.95000,49.73000,2.569989E-02,1.114034E-02,7.506959E-03,2.905049E-03
-86.70000,50.17000,2.596337E-02,1.127084E-02,7.673891E-03,2.982217E-03
-85.28000,48.60000,3.245737E-02,1.524715E-02,1.007401E-02,4.212700E-03
-85.22000,50.02000,3.060585E-02,1.397756E-02,9.404497E-03,3.841986E-03
-84.78000,47.98000,3.500598E-02,1.672286E-02,1.092047E-02,4.637847E-03
