# Difference between AtkinsonMacias2009.vs115.h15.txt and AtkinsonMacias2009.vs450.h15.txt ground motions in regular (non-log) units
#           14 31 25 : nmag, ndist, nperiod
#           10.000 7.692 6.250 5.000 4.000 3.125 2.500 2.000 1.587 1.266 1.000 0.794 0.633 0.500 0.400 0.316 0.250 0.200 0.159 0.125 0.100 0.079 0.063 0.050 PGA PGV
#           0.875 0.806 0.783 0.737 0.691 0.691 0.691 0.691 0.668 0.668 0.668 0.645 0.645 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.599 0.599 0.553 0.599
4.750	158.490	2.449	2.851	3.177	3.508	3.750	3.917	4.027	3.936	3.483	3.083	2.799	2.483	2.360	2.280	2.042	1.905	1.698	1.549	1.393	1.315	1.265	1.222	1.216	1.205	1.535	1.183
4.750	199.530	2.449	2.844	3.177	3.508	3.750	3.917	4.036	3.990	3.648	3.365	3.119	2.825	2.710	2.606	2.360	2.193	1.954	1.774	1.589	1.489	1.419	1.368	1.355	1.358	1.706	1.315
4.750	251.190	2.449	2.844	3.177	3.508	3.750	3.917	4.046	4.036	3.793	3.597	3.404	3.133	3.027	2.897	2.636	2.455	2.188	1.972	1.758	1.637	1.556	1.489	1.476	1.489	1.854	1.429
4.750	316.230	2.449	2.844	3.177	3.508	3.750	3.926	4.055	4.064	3.890	3.784	3.622	3.381	3.281	3.133	2.864	2.673	2.371	2.133	1.901	1.758	1.667	1.592	1.578	1.596	1.968	1.521
4.750	398.110	2.449	2.844	3.177	3.508	3.750	3.926	4.064	4.083	3.963	3.926	3.793	3.573	3.483	3.327	3.048	2.838	2.523	2.259	2.009	1.854	1.750	1.667	1.652	1.679	2.061	1.592
4.750	501.190	2.449	2.844	3.184	3.508	3.750	3.926	4.074	4.102	4.027	4.036	3.926	3.724	3.639	3.459	3.184	2.965	2.636	2.355	2.094	1.923	1.816	1.730	1.706	1.742	2.128	1.644
4.750	630.960	2.443	2.844	3.177	3.508	3.750	3.936	4.074	4.111	4.074	4.111	4.018	3.828	3.750	3.565	3.281	3.055	2.716	2.427	2.153	1.977	1.858	1.770	1.750	1.786	2.178	1.683
4.750	794.330	2.443	2.844	3.184	3.508	3.750	3.936	4.074	4.121	4.093	4.169	4.083	3.899	3.819	3.631	3.350	3.119	2.773	2.477	2.193	2.009	1.892	1.799	1.774	1.820	2.213	1.706
4.750	1000.000	2.443	2.851	3.184	3.508	3.750	3.936	4.074	4.130	4.111	4.198	4.121	3.945	3.873	3.681	3.396	3.162	2.812	2.506	2.223	2.037	1.914	1.820	1.795	1.837	2.234	1.726
5.000	1.000	2.443	2.844	3.184	3.508	3.715	3.776	3.573	2.618	0.811	0.210	0.093	0.042	0.031	0.034	0.024	0.022	0.021	0.022	0.023	0.029	0.034	0.038	0.039	0.030	0.057	0.043
