 198407260053  2.5  -123.310   48.980   PGC     58.00   Mw   1.9 Mq     2.47
 198408282215  2.8  -125.530   49.030   PGC     31.00   Mw   2.8 Mq     2.80
 198409020350  2.7  -123.120   48.750   PGC     58.00   Mw   2.1 Mq     2.67
 198409222016  3.2  -124.790   51.210   PGC     18.00 F Mw   3.2 Mq     3.20
 198410180101  2.9  -125.030   48.940   PGC     40.00   Mw   2.9 Mq     2.90
 198505311453  2.5  -123.220   49.210   PGC     65.00   Mw   1.9 Mq     2.47
 198506231923  2.5  -122.780   48.920   PGC     15.00   Mw   2.5 Mq     2.50
 198507240237  2.9  -123.980   49.360   PGC     69.00   Mw   2.3 Mq     2.87
 198507311812  2.8  -124.910   50.970   PGC     18.00 F Mw   2.8 Mq     2.80
 198509301904  2.7  -124.090   48.950   PGC     18.00 F Mw   2.7 Mq     2.70
 198512022322  2.6  -123.490   49.010   PGC     62.00   Mw   2.0 Mq     2.57
 198603020458  3.0  -124.910   48.740   PGC     38.00   Mw   3.0 Mq     3.00
 198606080517  3.2  -125.326   49.001   PGC     31.56   Mw   3.2 Mq     3.20
 198607101600  3.5  -122.462   49.597   PGC      4.93   Mw   3.5 Mq     3.50
 198607112314  2.7  -122.475   48.876   PGC     17.31   Mw   2.7 Mq     2.70
 198609061446  3.5  -125.270   48.736   PGC     33.13   Mw   3.5 Mq     3.50
 198611192152  2.6  -123.935   49.324   PGC     63.93   Mw   2.0 Mq     2.57
 198612171329  2.5  -126.477   49.448   PGC     31.00   Mw   2.5 Mq     2.50
 198704081433  3.9  -123.589   49.703   PGC      3.34   Mw   3.9 Mq     3.90
 198707020228  3.4  -124.619   50.987   PGC      5.00 F Mw   3.4 Mq     3.40
 198709162010  3.2  -122.710   49.087   PGC      4.07   Mw   3.2 Mq     3.20
 198711142210  3.2  -125.961   50.539   PGC     16.78   Mw   3.2 Mq     3.20
 198806291621  3.4  -123.943   49.563   PGC     71.87   Mw   2.8 Mq     3.37
 198807100854  3.2  -123.544   48.885   PGC     59.19   Mw   2.6 Mq     3.17
 198811150843  2.5  -125.976   49.384   PGC     42.94   Mw   2.5 Mq     2.50
 198904191327  2.8  -123.340   48.695   PGC     21.11   Mw   2.8 Mq     2.80
 198906060720  3.5  -124.538   51.007   PGC      5.00 F Mw   3.5 Mq     3.50
 198909240112  3.8  -125.509   50.906   PGC      5.00 F Mw   3.8 Mq     3.80
 198910160043  3.2  -123.959   49.281   PGC     63.81   Mw   2.6 Mq     3.17
 198910241054  3.9  -125.190   48.931   PGC     36.92   Mw   3.9 Mq     3.90
 198911091603  2.6  -124.330   51.118   PGC      5.00 F Mw   2.6 Mq     2.60
 199004010933  2.5  -124.690   48.666   PGC     43.04   Mw   2.5 Mq     2.50
 199005271456  3.3  -123.287   48.753   PGC     57.78   Mw   2.7 Mq     3.27
 199006231530  2.7  -124.389   51.008   PGC      5.00 F Mw   2.7 Mq     2.70
 199006231530  3.0  -124.408   51.025   PGC      5.00 F Mw   3.0 Mq     3.00
 199012070745  3.0  -123.584   49.725   PGC      3.72   Mw   3.0 Mq     3.00
 199102192304  3.9  -122.725   49.696   PGC      5.16   Mw   3.9 Mq     3.90
 199103120741  2.6  -124.154   50.990   PGC      5.00 F Mw   2.6 Mq     2.60
 199107031830  3.1  -122.506   49.251   PGC      5.00   Mw   3.1 Mq     3.10
 199108121700  2.9  -122.610   49.038   PGC     77.78   Mw   2.3 Mq     2.87
 199108271146  2.7  -126.031   49.611   PGC     35.05   Mw   2.7 Mq     2.70
 199205172311  3.0  -124.629   49.807   PGC     17.95   Mw   3.0 Mq     3.00
 199212220321  2.5  -125.196   48.951   PGC     38.32   Mw   2.5 Mq     2.50
 199304140203  2.8  -124.189   50.853   PGC      5.00 F Mw   2.8 Mq     2.80
 199305182043  2.5  -122.303   49.373   PGC      2.72   Mw   2.5 Mq     2.50
 199307072224  2.6  -123.477   49.861   PGC      6.10   Mw   2.6 Mq     2.60
 199309091454  3.0  -124.030   49.393   PGC     69.25   Mw   2.4 Mq     2.97
 199310240917  2.8  -123.993   49.385   PGC     66.24   Mw   2.2 Mq     2.77
 199401242314  2.7  -122.380   49.251   PGC      9.31   Mw   2.7 Mq     2.70
 199405081959  2.5  -125.053   48.646   PGC     29.96   Mw   2.5 Mq     2.50
 199405110042  2.5  -124.350   50.805   PGC      0.00 F Mw   2.5 Mq     2.50
 199407220703  2.6  -125.468   48.852   PGC     32.39   Mw   2.6 Mq     2.60
 199411200122  3.8  -125.535   49.180   PGC     38.20   Mw   3.8 Mq     3.80
 199412120623  2.5  -122.370   49.266   PGC      5.55   Mw   2.5 Mq     2.50
 199501312351  2.6  -122.715   49.085   PGC      4.24   Mw   2.6 Mq     2.60
 199507121439  2.5  -124.011   49.427   PGC     59.86   Mw   1.9 Mq     2.47
 199507231441  2.9  -124.838   48.914   PGC     37.75   Mw   2.9 Mq     2.90
 199511281442  2.8  -123.613   49.234   PGC      2.77   Mw   2.8 Mq     2.80
 199512200035  2.6  -123.306   49.195   PGC     61.51   Mw   2.0 Mq     2.57
 199512210252  3.0  -123.322   49.012   PGC     63.00   Mw   2.4 Mq     2.97
 199602222006  4.0  -123.902   49.897   PGC      2.00   Mw   4.0 Mq     4.00
 199607271403  2.9  -124.931   51.191   PGC      0.00 F Mw   2.9 Mq     2.90
 199609300010  3.2  -125.897   49.119   PGC     29.68   Mw   3.2 Mq     3.20
 199610070211  2.5  -123.506   49.577   PGC     13.40   Mw   2.5 Mq     2.50
 199705050839  2.5  -125.551   49.167   PGC     38.31   Mw   2.5 Mq     2.50
 199706131344  3.4  -123.619   49.242   PGC      3.42   Mw   3.4 Mq     3.40
 199706241440  4.6  -123.621   49.237   PGC      3.25   Mw   4.6 Mq     4.60
 199803190143  3.0  -124.628   49.330   PGC      0.62   Mw   3.0 Mq     3.00
 199804270700  3.5  -123.171   48.728   PGC     58.02   Mw   2.9 Mq     3.47
 199806111854  2.5  -124.886   51.136   PGC      5.00 F Mw   2.5 Mq     2.50
 199901212350  3.0  -123.629   49.239   PGC      3.94   Mw   3.0 Mq     3.00
 199901250927  2.6  -123.431   48.849   PGC      2.95   Mw   2.6 Mq     2.60
 199905081425  3.8  -126.076   49.264   PGC     33.44   Mw   3.8 Mq     3.80
 199906290451  3.0  -123.051   48.925   PGC     20.51   Mw   3.0 Mq     3.00
 199906291331  2.7  -123.047   48.927   PGC     20.48   Mw   2.7 Mq     2.70
 199912171008  3.4  -124.193   51.229   PGC     20.00 F Mw   3.4 Mq     3.40
 200008012133  5.2  -126.134   49.493   PGC     41.26   Mw   5.2 Mq     5.20
 200104071602  3.8  -124.740   48.691   PGC     32.09   Mw   3.8 Mq     3.80
 200106071215  2.9  -124.378   48.490   PGC     35.01   Mw   2.9 Mq     2.90
 200111101830  3.4  -123.061   48.924   PGC     21.72   Mw   3.4 Mq     3.40
 200111131014  2.6  -122.466   48.866   PGC     21.99   Mw   2.6 Mq     2.60
 200201190249  2.5  -123.050   48.928   PGC     20.24   Mw   2.5 Mq     2.50
 200207031222  3.1  -123.057   48.925   PGC     21.40   Mw   3.1 Mq     3.10
 200210020145  2.5  -122.184   49.203   PGC      1.85   Mw   2.5 Mq     2.50
 200211291152  3.4  -123.062   48.923   PGC     21.49   Mw   3.4 Mq     3.40
 200302252352  2.8  -125.805   49.062   PGC     33.91   Mw   2.8 Mq     2.80
 200303241316  2.6  -123.638   49.248   PGC      4.49   Mw   2.6 Mq     2.60
 200303241343  2.8  -123.635   49.249   PGC      3.54   Mw   2.8 Mq     2.80
 200305271859  2.5  -123.064   48.924   PGC     13.04   Mw   2.5 Mq     2.50
 200308241032  2.5  -125.548   49.084   PGC     16.26   Mw   2.5 Mq     2.50
 200401301234  3.0  -123.058   48.923   PGC     20.84   Mw   3.0 Mq     3.00
 200406250825  2.5  -124.174   50.858   PGC      1.00 F Mw   2.5 Mq     2.50
 200408030522  3.7  -123.977   49.350   PGC     66.67   Mw   3.1 Mq     3.67
 200408030632  3.5  -123.977   49.348   PGC     67.62   Mw   2.9 Mq     3.47
 200409282045  2.5  -124.135   51.008   PGC      1.00 F Mw   2.5 Mq     2.50
 200411170503  2.7  -126.221   49.275   PGC     38.11   Mw   2.7 Mq     2.70
 200510181932  2.5  -122.325   49.379   PGC      1.00   Mw   2.5 Mq     2.50
 200512120814  2.6  -125.204   51.001   PGC      1.00 F Mw   2.6 Mq     2.60
 200605110051  2.9  -124.317   48.587   PGC     40.27   Mw   2.9 Mq     2.90
 200612150723  2.7  -123.902   49.298   PGC     64.82   Mw   2.1 Mq     2.67
 200704150121  2.6  -122.149   48.990   PGC     11.73   Mw   2.6 Mq     2.60
 200705290853  2.8  -123.050   48.921   PGC     12.43   Mw   2.8 Mq     2.80
 200707212358  2.6  -124.750   50.946   PGC      1.00 F Mw   2.6 Mq     2.60
 200708042143  2.7  -124.471   51.131   PGC      1.00 F Mw   2.7 Mq     2.70
 200803170751  2.6  -125.459   49.583   PGC     55.67   Mw   2.6 Mq     2.60
 200810011523  2.6  -124.839   51.282   PGC      1.00 F Mw   2.6 Mq     2.60
 200810170550  3.4  -126.599   49.556   PGC     37.48   Mw   3.4 Mq     3.40
 200811090915  2.6  -122.531   48.861   PGC     20.94   Mw   2.6 Mq     2.60
 200904270508  2.6  -123.984   49.328   PGC     65.55   Mw   2.0 Mq     2.57
 200906172102  2.5  -123.816   48.904   PGC     47.06   Mw   1.9 Mq     2.47
 201005280547  3.1  -123.913   49.310   PGC     60.68   Mw   2.5 Mq     3.07
 201008061027  2.7  -123.632   50.428   PGC      0.00 F Mw   2.7 Mq     2.70
 201010290150  2.5  -123.995   49.350   PGC     69.02   Mw   1.9 Mq     2.47
 201012192252  3.0  -125.442   49.358   PGC     44.64   Mwp  3.0 ML     3.00
