# mean, investigation_time=50.0
lon,lat,SA(2.0)-0.02,SA(2.0)-0.1
-99.95000,49.83330,8.242505E-03,1.895763E-03
-99.46670,50.23330,8.513324E-03,2.002454E-03
-98.29000,50.00000,8.574432E-03,2.017634E-03
-98.10000,49.18330,8.054510E-03,1.818559E-03
-97.15000,49.89000,8.736923E-03,2.061753E-03
-96.99000,50.64000,9.090332E-03,2.213775E-03
-96.86670,50.15000,8.925111E-03,2.131273E-03
-96.68330,49.53330,8.619283E-03,1.999669E-03
-96.51670,50.06670,8.964290E-03,2.132601E-03
-96.30000,49.36000,8.588717E-03,1.974785E-03
-96.21670,50.56670,9.240990E-03,2.243652E-03
-96.06000,50.27000,9.174590E-03,2.200580E-03
-94.66670,53.86670,9.335537E-03,2.379393E-03
-94.43000,49.82000,9.695580E-03,2.257487E-03
-93.82000,51.05000,1.046631E-02,2.518119E-03
-93.55000,49.80000,1.024833E-02,2.357764E-03
-93.39000,48.61000,9.136604E-03,1.994818E-03
-92.75000,49.78000,1.048193E-02,2.411670E-03
-91.98000,50.07000,1.073715E-02,2.504236E-03
-91.62000,48.75000,9.721949E-03,2.166913E-03
-91.13000,49.25000,1.028139E-02,2.347122E-03
-90.57000,49.25000,1.030378E-02,2.365200E-03
-90.00000,53.83000,9.511523E-03,2.446772E-03
-89.93000,48.83000,1.005606E-02,2.315098E-03
-89.32000,48.40000,9.763297E-03,2.280890E-03
-89.03000,50.30000,1.083452E-02,2.728888E-03
-88.53000,48.78000,1.024122E-02,2.509885E-03
-87.88000,52.23000,1.062589E-02,2.840295E-03
-87.52000,49.68000,1.094482E-02,2.821488E-03
-87.25000,48.80000,1.087851E-02,2.720244E-03
-86.95000,49.73000,1.123396E-02,2.925623E-03
-86.70000,50.17000,1.136496E-02,3.003449E-03
-85.28000,48.60000,1.540587E-02,4.253614E-03
-85.22000,50.02000,1.411803E-02,3.879995E-03
-84.78000,47.98000,1.689614E-02,4.682385E-03
-84.78000,49.22000,1.608193E-02,4.505696E-03
-84.33000,46.52000,1.939925E-02,5.688618E-03
-83.67000,49.68000,1.823747E-02,5.170159E-03
-83.40000,47.83000,2.166438E-02,6.313701E-03
-83.02000,42.30000,2.401497E-02,6.738094E-03
-82.65720,46.38110,2.626070E-02,8.134248E-03
-82.57000,42.08000,2.575488E-02,7.174330E-03
-82.47000,45.92000,2.719481E-02,8.579757E-03
-82.43000,42.88000,2.580642E-02,7.755487E-03
-82.43000,49.42000,2.352525E-02,6.662762E-03
-82.43000,52.93000,1.260690E-02,3.269581E-03
-82.38000,42.60000,2.627932E-02,7.734869E-03
-82.38000,42.97000,2.598994E-02,7.885681E-03
-82.18000,42.40000,2.731600E-02,7.978465E-03
-82.18000,42.58000,2.717972E-02,8.060103E-03
-82.15000,42.87000,2.706320E-02,8.247600E-03
-82.12000,42.95000,2.715372E-02,8.342589E-03
-82.00000,43.10000,2.765450E-02,8.624249E-03
-81.88000,42.95000,2.826759E-02,8.757348E-03
-81.85000,43.15000,2.834133E-02,8.908363E-03
-81.77000,46.25000,3.123068E-02,9.835186E-03
-81.72000,42.75000,2.918056E-02,8.944388E-03
-81.72000,43.75000,2.919358E-02,9.472267E-03
-81.68000,43.15000,2.916981E-02,9.214251E-03
-81.63000,42.95000,2.950785E-02,9.206656E-03
-81.63000,44.18000,2.997215E-02,9.844132E-03
-81.63000,49.28000,3.015431E-02,8.175739E-03
