# mean, investigation_time=50.0, imt="SA(2.0)"
lon,lat,depth,poe-0.001,poe-0.0012369738328770429,poe-0.0015301042632225221,poe-0.0018926989351798664,poe-0.0023412190563317373,poe-0.002896026709715442,poe-0.003582309259231001,poe-0.004431222814941891,poe-0.00548130666973087,poe-0.006780232920431492,poe-0.008386970703385248,poe-0.010374463297193916,poe-0.01283293962877216,poe-0.015874010519681996,poe-0.019635735635661532,poe-0.02428889117060458,poe-0.030044722807636117,poe-0.03716453592908995,poe-0.04597155845530296,poe-0.05686561486578711,poe-0.07034127757944245,poe-0.08701031973691085,poe-0.10762948870482365,poe-0.13313486117380213,poe-0.16468433951571093,poe-0.20371021866557323,poe-0.2519842099789747,poe-0.311697874042186,poe-0.38556211395358825,poe-0.47693024590934496,poe-0.5899502342974732,poe-0.7297530025256556,poe-0.90268536858769,poe-1.1165981802639393,poe-1.3812027308246178,poe-1.7085116359283647,poe-2.1133841868093364,poe-2.614200937899276,poe-3.233698154064028,poe-3.9999999999999996
-99.95000,49.83330,0.00000,1.658573E-01,1.416053E-01,1.197133E-01,1.001446E-01,8.282076E-02,6.764002E-02,5.448782E-02,4.324089E-02,3.376659E-02,2.592034E-02,1.954389E-02,1.446633E-02,1.050859E-02,7.490663E-03,5.239763E-03,3.597655E-03,2.425702E-03,1.607279E-03,1.047828E-03,6.732431E-04,4.272916E-04,2.686252E-04,1.677787E-04,1.043954E-04,6.483030E-05,4.019338E-05,2.483622E-05,1.523995E-05,9.237588E-06,5.496270E-06,3.188331E-06,1.790902E-06,9.676154E-07,4.996855E-07,2.451538E-07,1.136199E-07,4.947639E-08,2.013908E-08,7.624992E-09,2.672488E-09
-99.46670,50.23330,0.00000,1.739929E-01,1.486164E-01,1.256833E-01,1.051615E-01,8.697538E-02,7.102454E-02,5.719487E-02,4.536243E-02,3.539246E-02,2.713647E-02,2.043018E-02,1.509472E-02,1.094143E-02,7.779913E-03,5.426989E-03,3.714792E-03,2.496343E-03,1.648195E-03,1.070489E-03,6.851826E-04,4.332394E-04,2.714068E-04,1.689886E-04,1.048780E-04,6.500234E-05,4.024483E-05,2.484638E-05,1.523860E-05,9.234436E-06,5.493776E-06,3.186741E-06,1.789966E-06,9.670777E-07,4.993760E-07,2.449743E-07,1.135161E-07,4.941782E-08,2.010762E-08,7.609239E-09,2.665234E-09
-98.29000,50.00000,0.00000,1.748192E-01,1.494111E-01,1.264322E-01,1.058533E-01,8.760167E-02,7.157961E-02,5.767582E-02,4.576912E-02,3.572746E-02,2.740476E-02,2.063877E-02,1.525192E-02,1.105615E-02,7.860903E-03,5.482248E-03,3.751175E-03,2.519409E-03,1.662233E-03,1.078658E-03,6.897057E-04,4.356098E-04,2.725750E-04,1.695250E-04,1.051034E-04,6.508481E-05,4.026657E-05,2.484485E-05,1.522979E-05,9.224745E-06,5.485528E-06,3.180542E-06,1.785709E-06,9.643780E-07,4.977894E-07,2.441081E-07,1.130756E-07,4.920849E-08,2.001436E-08,7.570216E-09,2.649907E-09
-98.10000,49.18330,0.00000,1.599458E-01,1.366151E-01,1.155492E-01,9.671141E-02,8.002598E-02,6.539563E-02,5.271162E-02,4.185727E-02,3.270705E-02,2.512381E-02,1.895685E-02,1.404276E-02,1.020979E-02,7.284846E-03,5.101522E-03,3.507236E-03,2.368203E-03,1.571801E-03,1.026642E-03,6.610384E-04,4.205326E-04,2.650378E-04,1.659557E-04,1.035047E-04,6.440573E-05,3.998952E-05,2.473262E-05,1.518172E-05,9.201348E-06,5.472388E-06,3.172541E-06,1.780824E-06,9.615372E-07,4.962562E-07,2.433499E-07,1.127342E-07,4.906896E-08,1.996262E-08,7.552785E-09,2.644545E-09
-97.15000,49.89000,0.00000,1.776741E-01,1.519757E-01,1.287154E-01,1.078667E-01,8.935837E-02,7.309391E-02,5.896289E-02,4.684518E-02,3.661010E-02,2.811320E-02,2.119379E-02,1.567541E-02,1.137030E-02,8.087139E-03,5.640210E-03,3.857964E-03,2.589182E-03,1.706180E-03,1.105250E-03,7.050980E-04,4.440897E-04,2.769983E-04,1.716987E-04,1.061062E-04,6.551910E-05,4.044478E-05,2.491629E-05,1.525977E-05,9.239194E-06,5.493781E-06,3.185744E-06,1.789002E-06,9.663543E-07,4.988834E-07,2.446594E-07,1.133263E-07,4.931050E-08,2.005103E-08,7.581620E-09,2.652854E-09
-96.99000,50.64000,0.00000,1.890812E-01,1.618009E-01,1.370747E-01,1.148845E-01,9.516435E-02,7.782004E-02,6.274151E-02,4.980697E-02,3.888186E-02,2.981534E-02,2.243763E-02,1.656066E-02,1.198317E-02,8.499363E-03,5.909215E-03,4.027979E-03,2.693013E-03,1.767280E-03,1.139777E-03,7.237643E-04,4.537057E-04,2.816984E-04,1.738676E-04,1.070445E-04,6.589490E-05,4.058010E-05,2.495653E-05,1.526618E-05,9.235704E-06,5.488863E-06,3.181876E-06,1.786532E-06,9.649855E-07,4.982202E-07,2.443853E-07,1.132372E-07,4.929459E-08,2.005661E-08,7.589410E-09,2.657987E-09
-96.86670,50.15000,0.00000,1.827397E-01,1.563678E-01,1.324825E-01,1.110607E-01,9.203290E-02,7.530291E-02,6.075976E-02,4.828222E-02,3.773795E-02,2.898028E-02,2.184560E-02,1.615376E-02,1.171252E-02,8.325483E-03,5.801604E-03,3.964062E-03,2.656773E-03,1.747814E-03,1.129980E-03,7.192186E-04,4.518148E-04,2.810337E-04,1.737045E-04,1.070509E-04,6.593805E-05,4.061727E-05,2.497978E-05,1.527814E-05,9.240587E-06,5.489984E-06,3.181354E-06,1.785549E-06,9.640903E-07,4.975868E-07,2.440030E-07,1.130328E-07,4.919587E-08,2.001285E-08,7.571400E-09,2.651043E-09
-96.68330,49.53330,0.00000,1.727648E-01,1.477998E-01,1.252119E-01,1.049720E-01,8.700749E-02,7.122155E-02,5.750404E-02,4.573620E-02,3.578990E-02,2.752466E-02,2.078524E-02,1.540188E-02,1.119431E-02,7.978825E-03,5.576884E-03,3.823185E-03,2.571591E-03,1.698304E-03,1.102430E-03,7.046094E-04,4.444690E-04,2.775492E-04,1.721535E-04,1.064076E-04,6.569263E-05,4.053440E-05,2.495860E-05,1.527829E-05,9.246822E-06,5.496784E-06,3.186887E-06,1.789423E-06,9.665030E-07,4.989323E-07,2.446736E-07,1.133295E-07,4.931074E-08,2.005067E-08,7.581307E-09,2.652666E-09
-96.51670,50.06670,0.00000,1.825699E-01,1.562745E-01,1.324549E-01,1.110883E-01,9.210528E-02,7.540943E-02,6.088972E-02,4.842514E-02,3.788407E-02,2.912113E-02,2.197454E-02,1.626634E-02,1.180654E-02,8.400756E-03,5.859470E-03,4.006826E-03,2.687164E-03,1.768570E-03,1.143575E-03,7.277319E-04,4.568892E-04,2.838974E-04,1.752250E-04,1.078050E-04,6.628450E-05,4.076316E-05,2.503540E-05,1.529710E-05,9.246418E-06,5.491781E-06,3.182108E-06,1.786026E-06,9.644208E-07,4.977894E-07,2.441059E-07,1.130739E-07,4.920669E-08,2.001255E-08,7.568813E-09,2.649040E-09
-96.30000,49.36000,0.00000,1.707007E-01,1.460659E-01,1.237783E-01,1.038085E-01,8.608353E-02,7.050646E-02,5.696730E-02,4.534783E-02,3.552115E-02,2.734877E-02,2.067829E-02,1.534344E-02,1.116787E-02,7.971800E-03,5.580335E-03,3.831212E-03,2.580647E-03,1.706517E-03,1.109023E-03,7.094548E-04,4.477758E-04,2.796568E-04,1.734106E-04,1.071092E-04,6.605888E-05,4.071301E-05,2.503981E-05,1.531254E-05,9.260031E-06,5.501261E-06,3.188061E-06,1.789520E-06,9.663503E-07,4.987904E-07,2.445917E-07,1.132939E-07,4.929950E-08,2.004909E-08,7.582243E-09,2.653655E-09
