# mean, investigation_time=50.0
lon,lat,0.02~SA(2.0),0.02~SA(10.0),0.1~SA(2.0),0.1~SA(10.0)
-97.15000,49.89000,9.112137E-03,5.482127E-04,2.166003E-03,0.000000E+00
-94.43000,49.82000,1.010666E-02,5.948444E-04,2.369505E-03,0.000000E+00
-93.82000,51.05000,1.089182E-02,6.441126E-04,2.640316E-03,0.000000E+00
-93.55000,49.80000,1.066277E-02,6.179170E-04,2.469511E-03,0.000000E+00
-93.39000,48.61000,9.516713E-03,5.455463E-04,2.092721E-03,0.000000E+00
-92.75000,49.78000,1.089756E-02,6.303300E-04,2.526277E-03,0.000000E+00
-91.98000,50.07000,1.116482E-02,6.476592E-04,2.624100E-03,0.000000E+00
-91.62000,48.75000,1.012860E-02,5.808762E-04,2.274801E-03,0.000000E+00
-91.13000,49.25000,1.069403E-02,6.168800E-04,2.458237E-03,0.000000E+00
-90.57000,49.25000,1.071500E-02,6.226911E-04,2.476723E-03,0.000000E+00
-90.00000,53.83000,9.938311E-03,6.163046E-04,2.567908E-03,0.000000E+00
-89.93000,48.83000,1.047075E-02,6.186340E-04,2.425222E-03,0.000000E+00
-89.32000,48.40000,1.017505E-02,6.202485E-04,2.392637E-03,0.000000E+00
-89.03000,50.30000,1.127849E-02,7.040432E-04,2.864106E-03,0.000000E+00
-88.53000,48.78000,1.066550E-02,6.744055E-04,2.633838E-03,0.000000E+00
-87.88000,52.23000,1.108066E-02,7.105168E-04,2.979759E-03,0.000000E+00
-87.52000,49.68000,1.139907E-02,7.391827E-04,2.959664E-03,0.000000E+00
-87.25000,48.80000,1.131870E-02,7.420099E-04,2.856089E-03,0.000000E+00
-86.95000,49.73000,1.170146E-02,7.679702E-04,3.064573E-03,0.000000E+00
-86.70000,50.17000,1.184306E-02,7.783534E-04,3.147553E-03,0.000000E+00
-85.28000,48.60000,1.599418E-02,1.189499E-03,4.449470E-03,0.000000E+00
-85.22000,50.02000,1.466617E-02,1.045806E-03,4.054281E-03,0.000000E+00
-84.78000,47.98000,1.749594E-02,1.340795E-03,4.883911E-03,0.000000E+00
-84.78000,49.22000,1.667151E-02,1.238984E-03,4.701343E-03,0.000000E+00
-84.33000,46.52000,2.007207E-02,1.611094E-03,5.919639E-03,0.000000E+00
-83.67000,49.68000,1.889994E-02,1.411417E-03,5.398411E-03,0.000000E+00
-83.40000,47.83000,2.237221E-02,1.776808E-03,6.573196E-03,0.000000E+00
-83.02000,42.30000,2.472545E-02,1.817995E-03,6.983194E-03,0.000000E+00
-82.65700,46.38100,2.707097E-02,2.234256E-03,8.447069E-03,6.071597E-04
