# mean, investigation_time=50.0
lon,lat,0.02~SA(0.5),0.02~SA(2.0),0.1~SA(0.5),0.1~SA(2.0)
-97.15000,49.89000,4.240077E-02,8.908640E-03,1.245823E-02,2.117676E-03
-94.43000,49.82000,4.861478E-02,9.884193E-03,1.398271E-02,2.318708E-03
-93.82000,51.05000,5.213563E-02,1.065851E-02,1.511374E-02,2.583285E-03
-93.55000,49.80000,5.247570E-02,1.044212E-02,1.473443E-02,2.417816E-03
-93.39000,48.61000,4.751621E-02,9.312621E-03,1.276123E-02,2.047562E-03
-92.75000,49.78000,5.392715E-02,1.067233E-02,1.515379E-02,2.473239E-03
-91.98000,50.07000,5.501256E-02,1.093232E-02,1.562553E-02,2.568466E-03
-91.62000,48.75000,5.049602E-02,9.909403E-03,1.377584E-02,2.224950E-03
-91.13000,49.25000,5.303497E-02,1.047344E-02,1.476979E-02,2.406820E-03
-90.57000,49.25000,5.268216E-02,1.049275E-02,1.474192E-02,2.424678E-03
-90.00000,53.83000,4.425532E-02,9.699458E-03,1.369631E-02,2.510152E-03
-89.93000,48.83000,5.036760E-02,1.024357E-02,1.410414E-02,2.373823E-03
-89.32000,48.40000,4.691152E-02,9.944192E-03,1.342617E-02,2.341011E-03
-89.03000,50.30000,5.043113E-02,1.102770E-02,1.542496E-02,2.799283E-03
-88.53000,48.78000,4.680260E-02,1.043163E-02,1.417189E-02,2.575049E-03
-87.88000,52.23000,4.712765E-02,1.081984E-02,1.503048E-02,2.914049E-03
-87.52000,49.68000,4.809250E-02,1.113935E-02,1.516115E-02,2.895714E-03
-87.25000,48.80000,4.729065E-02,1.106515E-02,1.469128E-02,2.790835E-03
-86.95000,49.73000,4.854788E-02,1.143191E-02,1.545102E-02,2.997621E-03
-86.70000,50.17000,4.891765E-02,1.156681E-02,1.571418E-02,3.078050E-03
-85.28000,48.60000,5.700314E-02,1.562473E-02,1.913105E-02,4.350288E-03
-85.22000,50.02000,5.505208E-02,1.432402E-02,1.831434E-02,3.964589E-03
-84.78000,47.98000,6.044203E-02,1.710800E-02,2.045130E-02,4.780118E-03
-84.78000,49.22000,5.975230E-02,1.629724E-02,2.019922E-02,4.601371E-03
-84.33000,46.52000,6.454104E-02,1.962050E-02,2.254792E-02,5.795647E-03
-83.67000,49.68000,6.828680E-02,1.847325E-02,2.309352E-02,5.280637E-03
-83.40000,47.83000,7.448462E-02,2.188977E-02,2.600558E-02,6.435044E-03
-83.02000,42.30000,9.389250E-02,2.425300E-02,3.174649E-02,6.856362E-03
-82.65700,46.38100,8.525767E-02,2.648800E-02,3.081622E-02,8.278030E-03
-82.57000,42.08000,1.033648E-01,2.598880E-02,3.460576E-02,7.296677E-03
-82.47000,45.92000,8.695635E-02,2.742636E-02,3.175757E-02,8.718288E-03
-82.43000,42.88000,9.156010E-02,2.603562E-02,3.229111E-02,7.889292E-03
-82.43000,49.42000,9.141930E-02,2.378541E-02,3.022453E-02,6.796560E-03
-82.43000,52.93000,5.819621E-02,1.283109E-02,1.814902E-02,3.351112E-03
-82.38000,42.60000,9.725802E-02,2.651529E-02,3.357040E-02,7.869690E-03
-82.38000,42.97000,9.111383E-02,2.621893E-02,3.232008E-02,8.021467E-03
-82.18000,42.40000,1.041851E-01,2.755816E-02,3.552921E-02,8.117007E-03
-82.18000,42.58000,1.009140E-01,2.742039E-02,3.477337E-02,8.199896E-03
