# mean, investigation_time=50.0
lon,lat,0.02~PGA,0.02~SA(0.1),0.02~SA(0.2),0.02~SA(0.5),0.02~SA(1.0),0.02~SA(2.0),0.02~SA(5.0),0.02~SA(10.0),0.1~PGA,0.1~SA(0.1),0.1~SA(0.2),0.1~SA(0.5),0.1~SA(1.0),0.1~SA(2.0),0.1~SA(5.0),0.1~SA(10.0)
-127.45000,50.38000,7.683467E-01,1.532842E+00,1.894447E+00,1.405318E+00,7.745240E-01,4.115052E-01,1.106342E-01,4.412754E-02,4.233148E-01,8.485615E-01,1.034634E+00,7.214548E-01,3.776709E-01,1.830757E-01,4.398488E-02,1.493016E-02
-127.42000,50.70000,3.529959E-01,6.983213E-01,9.002195E-01,7.326888E-01,4.453055E-01,2.821736E-01,8.428228E-02,3.653639E-02,1.908911E-01,3.764480E-01,4.742733E-01,3.720277E-01,2.120957E-01,1.191797E-01,3.131211E-02,1.174279E-02
-127.16700,54.78300,5.632397E-02,1.027036E-01,1.156638E-01,8.293396E-02,7.041253E-02,5.863805E-02,3.214434E-02,1.828187E-02,2.264714E-02,3.664035E-02,4.361235E-02,4.106258E-02,3.534957E-02,2.890333E-02,1.186330E-02,4.805411E-03
-127.10000,50.58000,3.648344E-01,7.125899E-01,9.247196E-01,7.694141E-01,4.689601E-01,2.997326E-01,8.823043E-02,3.780225E-02,1.903778E-01,3.731632E-01,4.729061E-01,3.769182E-01,2.162443E-01,1.221359E-01,3.188319E-02,1.184286E-02
-126.75000,52.37000,9.776729E-02,1.795159E-01,2.086976E-01,1.698460E-01,1.325243E-01,1.038847E-01,4.609827E-02,2.426695E-02,4.140658E-02,6.901968E-02,8.829193E-02,8.940104E-02,6.761182E-02,4.895383E-02,1.747591E-02,7.907507E-03
-126.65000,49.93000,7.298426E-01,1.451066E+00,1.772301E+00,1.384013E+00,8.014410E-01,4.896643E-01,1.263108E-01,5.050324E-02,3.895316E-01,7.746390E-01,9.200071E-01,6.542443E-01,3.494499E-01,1.809096E-01,4.259166E-02,1.463578E-02
-126.05000,49.78000,5.117180E-01,9.548473E-01,1.269816E+00,1.136762E+00,6.902775E-01,4.511237E-01,1.184530E-01,4.776419E-02,2.287638E-01,4.363921E-01,5.597125E-01,4.595832E-01,2.654868E-01,1.504031E-01,3.687335E-02,1.312275E-02
-125.88000,49.12000,7.584485E-01,1.349054E+00,1.782571E+00,1.678526E+00,1.005246E+00,6.561282E-01,1.537628E-01,5.862678E-02,2.620031E-01,4.864403E-01,6.229673E-01,5.268500E-01,3.000606E-01,1.668119E-01,4.022899E-02,1.434453E-02
-125.75000,54.23000,5.433278E-02,9.826303E-02,1.092222E-01,7.492051E-02,6.334238E-02,5.547917E-02,3.126004E-02,1.812512E-02,2.045026E-02,3.251520E-02,3.818691E-02,3.519471E-02,3.135053E-02,2.676730E-02,1.121023E-02,4.635682E-03
-125.55000,48.93000,7.844375E-01,1.390358E+00,1.833254E+00,1.735649E+00,1.041813E+00,6.793651E-01,1.561398E-01,5.897143E-02,2.632710E-01,4.921013E-01,6.189470E-01,5.117009E-01,2.890691E-01,1.584780E-01,3.871702E-02,1.404607E-02
-125.24000,50.02000,3.338033E-01,6.360367E-01,8.086186E-01,6.691892E-01,4.196730E-01,2.823845E-01,8.209084E-02,3.511733E-02,1.486119E-01,2.830036E-01,3.510070E-01,2.824904E-01,1.648293E-01,9.643660E-02,2.609604E-02,9.870044E-03
-125.13000,48.83000,7.744571E-01,1.388808E+00,1.817946E+00,1.707043E+00,1.021898E+00,6.666105E-01,1.534900E-01,5.777363E-02,2.812953E-01,5.339046E-01,6.540637E-01,5.262512E-01,2.908058E-01,1.563493E-01,3.772008E-02,1.378733E-02
-124.98000,49.68000,3.882005E-01,7.407791E-01,9.378262E-01,8.001001E-01,4.920568E-01,3.273105E-01,9.111418E-02,3.793592E-02,1.741983E-01,3.351708E-01,4.124097E-01,3.230093E-01,1.866678E-01,1.069467E-01,2.787068E-02,1.047927E-02
-124.93000,49.68000,3.855610E-01,7.387405E-01,9.304065E-01,7.894055E-01,4.842957E-01,3.222313E-01,8.988842E-02,3.751460E-02,1.741078E-01,3.357666E-01,4.117602E-01,3.207264E-01,1.848925E-01,1.058826E-01,2.759614E-02,1.039205E-02
-124.80000,49.23300,5.278317E-01,1.003090E+00,1.279434E+00,1.130854E+00,6.808225E-01,4.464032E-01,1.136548E-01,4.506055E-02,2.348618E-01,4.558795E-01,5.532029E-01,4.261272E-01,2.379259E-01,1.311678E-01,3.213242E-02,1.189885E-02
-124.80000,49.27000,5.104496E-01,9.733679E-01,1.240515E+00,1.093479E+00,6.569934E-01,4.318863E-01,1.109211E-01,4.414536E-02,2.291148E-01,4.449553E-01,5.389156E-01,4.159040E-01,2.324251E-01,1.284619E-01,3.163517E-02,1.173614E-02
-124.52000,49.83000,3.473275E-01,6.866646E-01,8.274907E-01,6.446621E-01,3.957948E-01,2.604232E-01,7.594125E-02,3.261609E-02,1.613887E-01,3.166183E-01,3.778229E-01,2.833666E-01,1.604032E-01,9.122383E-02,2.419238E-02,9.297300E-03
-124.45000,49.35000,4.817634E-01,9.579596E-01,1.161760E+00,9.413866E-01,5.651510E-01,3.650010E-01,9.643065E-02,3.913025E-02,2.314620E-01,4.575528E-01,5.430913E-01,4.041856E-01,2.220956E-01,1.210353E-01,2.945405E-02,1.096007E-02
-124.40000,48.56000,8.103968E-01,1.533888E+00,1.920471E+00,1.725386E+00,1.022118E+00,6.618500E-01,1.515792E-01,5.660724E-02,3.532481E-01,6.882832E-01,8.191880E-01,6.303734E-01,3.390913E-01,1.767214E-01,3.911015E-02,1.401382E-02
-124.33000,49.32000,4.983726E-01,1.001917E+00,1.195267E+00,9.514316E-01,5.657022E-01,3.625200E-01,9.530079E-02,3.866550E-02,2.424310E-01,4.821777E-01,5.682416E-01,4.172443E-01,2.277643E-01,1.231043E-01,2.953613E-02,1.095647E-02
-124.20000,48.88000,6.644418E-01,1.321505E+00,1.605369E+00,1.333108E+00,7.861060E-01,5.004409E-01,1.213989E-01,4.705421E-02,3.264115E-01,6.481923E-01,7.628594E-01,5.676869E-01,3.044493E-01,1.596339E-01,3.563143E-02,1.280519E-02
-124.05000,48.42000,8.195499E-01,1.594382E+00,1.955872E+00,1.692902E+00,9.902998E-01,6.357754E-01,1.468838E-01,5.479666E-02,3.913576E-01,7.729112E-01,9.012828E-01,6.834355E-01,3.653791E-01,1.883031E-01,4.030660E-02,1.419710E-02
-123.93000,49.17000,5.672455E-01,1.166466E+00,1.343093E+00,1.022979E+00,5.877775E-01,3.682988E-01,9.436964E-02,3.798868E-02,2.878094E-01,5.799419E-01,6.638359E-01,4.749537E-01,2.549322E-01,1.345205E-01,3.063653E-02,1.118983E-02
-123.82000,48.99000,6.224372E-01,1.285710E+00,1.491874E+00,1.141136E+00,6.497711E-01,4.077660E-01,1.018526E-01,4.018612E-02,3.208880E-01,6.493220E-01,7.484442E-01,5.368273E-01,2.866809E-01,1.492835E-01,3.294240E-02,1.185537E-02
-123.75000,49.47000,4.660683E-01,9.648402E-01,1.100122E+00,7.973913E-01,4.538470E-01,2.848271E-01,7.693739E-02,3.232437E-02,2.296349E-01,4.654451E-01,5.337905E-01,3.739305E-01,2.025971E-01,1.079130E-01,2.588676E-02,9.739981E-03
-123.72000,48.38000,8.090215E-01,1.625421E+00,1.940584E+00,1.589059E+00,9.099295E-01,5.749738E-01,1.342973E-01,5.071808E-02,4.173972E-01,8.354499E-01,9.676062E-01,7.107909E-01,3.762930E-01,1.913408E-01,4.041221E-02,1.406148E-02
-123.70000,48.78000,6.873717E-01,1.424063E+00,1.647091E+00,1.266924E+00,7.214906E-01,4.473069E-01,1.093867E-01,4.259114E-02,3.601576E-01,7.322334E-01,8.385478E-01,6.011499E-01,3.181404E-01,1.642294E-01,3.551816E-02,1.257959E-02
-123.65000,48.87000,6.529415E-01,1.358941E+00,1.564082E+00,1.181791E+00,6.683492E-01,4.150209E-01,1.027504E-01,4.029741E-02,3.416417E-01,6.957860E-01,7.983330E-01,5.687064E-01,3.009048E-01,1.557882E-01,3.389291E-02,1.209205E-02
-123.50000,48.45000,8.335791E-01,1.693809E+00,1.995978E+00,1.543729E+00,8.582277E-01,5.086902E-01,1.211738E-01,4.615871E-02,4.388512E-01,8.845444E-01,1.021031E+00,7.284190E-01,3.817743E-01,1.905935E-01,4.035195E-02,1.387842E-02
-123.40000,48.65000,7.216643E-01,1.510089E+00,1.718499E+00,1.275490E+00,7.126148E-01,4.312560E-01,1.055387E-01,4.101136E-02,3.886178E-01,7.944525E-01,8.980746E-01,6.277340E-01,3.286721E-01,1.670106E-01,3.587386E-02,1.258995E-02
-123.38800,48.40000,8.227767E-01,1.679640E+00,1.970128E+00,1.510928E+00,8.388575E-01,4.937541E-01,1.185660E-01,4.517299E-02,4.371849E-01,8.840498E-01,1.018466E+00,7.220432E-01,3.782295E-01,1.889498E-01,4.018924E-02,1.381472E-02
-123.38400,48.40700,8.219814E-01,1.678331E+00,1.967503E+00,1.505870E+00,8.352508E-01,4.907975E-01,1.179380E-01,4.497388E-02,4.368335E-01,8.836164E-01,1.017636E+00,7.207895E-01,3.773830E-01,1.884230E-01,4.007543E-02,1.378041E-02
-123.38000,48.41300,8.205186E-01,1.676200E+00,1.963273E+00,1.499877E+00,8.313594E-01,4.879687E-01,1.173353E-01,4.478030E-02,4.363211E-01,8.828847E-01,1.016446E+00,7.192573E-01,3.763898E-01,1.878463E-01,3.995133E-02,1.374390E-02
-123.37500,48.42100,8.177627E-01,1.672314E+00,1.955799E+00,1.490490E+00,8.256616E-01,4.841491E-01,1.165236E-01,4.451611E-02,4.354123E-01,8.814905E-01,1.014339E+00,7.167765E-01,3.748335E-01,1.869850E-01,3.976825E-02,1.368968E-02
-123.37000,48.43000,8.140159E-01,1.667036E+00,1.946147E+00,1.479377E+00,8.193818E-01,4.803159E-01,1.157030E-01,4.424783E-02,4.342437E-01,8.795975E-01,1.011607E+00,7.137872E-01,3.730120E-01,1.860127E-01,3.956354E-02,1.362464E-02
-123.36400,48.44400,8.068573E-01,1.656703E+00,1.928400E+00,1.460751E+00,8.098311E-01,4.751152E-01,1.146189E-01,4.389393E-02,4.320085E-01,8.758066E-01,1.006296E+00,7.085692E-01,3.700045E-01,1.845007E-01,3.926217E-02,1.352972E-02
-123.35800,48.45800,7.970644E-01,1.641299E+00,1.904302E+00,1.437599E+00,7.988838E-01,4.698423E-01,1.135770E-01,4.355974E-02,4.287808E-01,8.701371E-01,9.985138E-01,7.017500E-01,3.663048E-01,1.827803E-01,3.895499E-02,1.343543E-02
-123.35100,48.47200,7.877182E-01,1.625629E+00,1.880437E+00,1.414961E+00,7.881371E-01,4.645764E-01,1.125108E-01,4.321940E-02,4.252803E-01,8.639032E-01,9.898832E-01,6.944518E-01,3.624152E-01,1.810228E-01,3.864543E-02,1.334236E-02
-123.34500,48.48600,7.791627E-01,1.610858E+00,1.858015E+00,1.393841E+00,7.780409E-01,4.596086E-01,1.114824E-01,4.289236E-02,4.217233E-01,8.575016E-01,9.809278E-01,6.870464E-01,3.585039E-01,1.792890E-01,3.833543E-02,1.325073E-02
-123.33900,48.50000,7.705696E-01,1.597526E+00,1.837710E+00,1.374569E+00,7.670134E-01,4.548339E-01,1.104768E-01,4.256959E-02,4.181846E-01,8.510807E-01,9.718656E-01,6.796473E-01,3.546146E-01,1.775851E-01,3.802374E-02,1.315924E-02
-123.33000,48.47000,7.848297E-01,1.620860E+00,1.872426E+00,1.405182E+00,7.828001E-01,4.607491E-01,1.117234E-01,4.293894E-02,4.240374E-01,8.619448E-01,9.868465E-01,6.913281E-01,3.606927E-01,1.801935E-01,3.850075E-02,1.329436E-02
-123.32000,48.42000,8.101872E-01,1.661131E+00,1.934000E+00,1.463177E+00,8.100829E-01,4.728125E-01,1.141664E-01,4.368977E-02,4.323889E-01,8.770720E-01,1.007028E+00,7.083889E-01,3.699925E-01,1.845912E-01,3.931890E-02,1.354126E-02
-123.31500,48.55000,7.472982E-01,1.559560E+00,1.780983E+00,1.318867E+00,7.342340E-01,4.387111E-01,1.070501E-01,4.143145E-02,4.063594E-01,8.289353E-01,9.410514E-01,6.549040E-01,3.416984E-01,1.719558E-01,3.690037E-02,1.284459E-02
-123.29200,48.60000,7.261879E-01,1.522998E+00,1.729580E+00,1.269782E+00,7.049106E-01,4.228991E-01,1.037398E-01,4.030080E-02,3.947349E-01,8.067764E-01,9.116273E-01,6.320560E-01,3.298453E-01,1.667034E-01,3.582826E-02,1.254750E-02
