ordinal,uid,model,gsim,weight
26,b1~b11_b21_b32_b43_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() GarciaEtAl2005SSlab() CampbellBozorg,0.000976562
27,b1~b11_b21_b32_b43_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() GarciaEtAl2005SSlab() ChiouYoungs201,0.000976562
28,b1~b11_b21_b32_b44_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Abr,0.000976562
29,b1~b11_b21_b32_b44_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Boo,0.000976562
30,b1~b11_b21_b32_b44_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Cam,0.000976562
31,b1~b11_b21_b32_b44_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Chi,0.000976562
32,b1~b11_b21_b33_b41_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Ab,0.000976562
33,b1~b11_b21_b33_b41_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Bo,0.000976562
34,b1~b11_b21_b33_b41_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Ca,0.000976562
35,b1~b11_b21_b33_b41_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Ch,0.000976562
36,b1~b11_b21_b33_b42_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() ,0.000976562
37,b1~b11_b21_b33_b42_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() ,0.000976562
38,b1~b11_b21_b33_b42_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() ,0.000976562
39,b1~b11_b21_b33_b42_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() ,0.000976562
40,b1~b11_b21_b33_b43_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Abraha,0.000976562
41,b1~b11_b21_b33_b43_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() GarciaEtAl2005SSlab() BooreE,0.000976562
42,b1~b11_b21_b33_b43_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Campbe,0.000976562
43,b1~b11_b21_b33_b43_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() GarciaEtAl2005SSlab() ChiouY,0.000976562
44,b1~b11_b21_b33_b44_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascad,0.000976562
45,b1~b11_b21_b33_b44_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascad,0.000976562
46,b1~b11_b21_b33_b44_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascad,0.000976562
47,b1~b11_b21_b33_b44_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascad,0.000976562
48,b1~b11_b21_b34_b41_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Abrahams,0.000976562
49,b1~b11_b21_b34_b41_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() BooreEtA,0.000976562
50,b1~b11_b21_b34_b41_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Campbell,0.000976562
51,b1~b11_b21_b34_b41_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() ChiouYou,0.000976562
52,b1~b11_b21_b34_b42_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() Abraha,0.000976562
53,b1~b11_b21_b34_b42_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() BooreE,0.000976562
54,b1~b11_b21_b34_b42_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() Campbe,0.000976562
55,b1~b11_b21_b34_b42_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() ChiouY,0.000976562
56,b1~b11_b21_b34_b43_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() GarciaEtAl2005SSlab() AbrahamsonEt,0.000976562
57,b1~b11_b21_b34_b43_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() GarciaEtAl2005SSlab() BooreEtAl201,0.000976562
58,b1~b11_b21_b34_b43_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() GarciaEtAl2005SSlab() CampbellBozo,0.000976562
59,b1~b11_b21_b34_b43_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() GarciaEtAl2005SSlab() ChiouYoungs2,0.000976562
