# mean, investigation_time=50.0
lon,lat,SA(0.2)-0.02,SA(0.2)-0.1
-80.30000,42.83000,1.736929E-01,6.225962E-02
-80.27000,43.13000,1.901440E-01,6.461913E-02
-80.25000,43.55000,1.688381E-01,6.114220E-02
-80.22000,44.48000,1.359247E-01,5.388638E-02
-80.20440,44.07640,1.426407E-01,5.552728E-02
-80.20000,42.78000,1.770343E-01,6.337372E-02
-80.10000,42.88000,1.892282E-01,6.635505E-02
-80.10000,43.92000,1.524378E-01,5.841162E-02
-80.05000,42.97000,2.050838E-01,6.935525E-02
-80.03000,45.35000,1.570727E-01,6.120444E-02
-80.03000,48.15000,2.039804E-01,6.851432E-02
-79.93000,43.07000,2.489391E-01,7.561457E-02
-79.92000,43.65000,1.908780E-01,6.758092E-02
-79.92000,44.78000,1.449674E-01,5.782451E-02
-79.92000,46.37000,2.336425E-01,8.572097E-02
-79.88000,43.52000,2.286980E-01,7.329673E-02
-79.88000,44.27000,1.481641E-01,5.836632E-02
-79.88000,44.75000,1.457427E-01,5.815287E-02
-79.87000,44.15000,1.519195E-01,5.929117E-02
-79.87000,44.58000,1.451109E-01,5.785839E-02
-79.87000,47.82000,2.260245E-01,7.723565E-02
-79.86000,43.25000,2.967357E-01,8.087561E-02
-79.82000,44.87000,1.491440E-01,5.941662E-02
-79.82000,47.72000,2.347033E-01,8.063762E-02
-79.80000,43.32000,3.039898E-01,8.285673E-02
-79.78000,47.07000,2.933157E-01,1.024842E-01
-79.77000,43.68000,2.039362E-01,7.098645E-02
-79.68000,43.45000,2.945414E-01,8.387924E-02
-79.67000,44.40000,1.518643E-01,6.024494E-02
-79.67000,47.50000,2.627273E-01,9.114815E-02
-79.65000,43.58000,2.548271E-01,7.918374E-02
-79.63000,47.45000,2.718442E-01,9.435944E-02
-79.62000,42.90000,2.665453E-01,8.046249E-02
-79.61000,43.68000,2.291802E-01,7.586010E-02
-79.60000,43.78000,2.044324E-01,7.195062E-02
-79.58000,43.55000,2.815147E-01,8.318454E-02
-79.57000,43.20000,3.370991E-01,9.257254E-02
-79.57000,43.70000,2.304722E-01,7.620987E-02
-79.57000,44.12000,1.644988E-01,6.365677E-02
-79.55000,43.10000,3.310031E-01,9.132431E-02
-79.55000,44.47000,1.543426E-01,6.142765E-02
-79.47000,44.00000,1.788958E-01,6.758173E-02
-79.47000,44.05000,1.738023E-01,6.639687E-02
-79.47000,46.32000,2.998257E-01,1.075790E-01
-79.45000,43.87000,2.016160E-01,7.218906E-02
-79.43000,47.33000,3.181139E-01,1.096110E-01
-79.42000,43.77000,2.340063E-01,7.731214E-02
-79.42000,44.62000,1.574006E-01,6.291454E-02
-79.40000,45.62000,2.013569E-01,7.718619E-02
-79.40000,45.77000,2.151041E-01,8.173392E-02
-79.38000,43.65000,2.887272E-01,8.488882E-02
-79.38000,45.83000,2.226336E-01,8.432658E-02
-79.37000,44.92000,1.636105E-01,6.520604E-02
-79.37000,45.98000,2.425691E-01,9.072833E-02
-79.30000,45.03000,1.692725E-01,6.728719E-02
-79.28000,43.03000,3.461800E-01,9.654821E-02
-79.27000,43.87000,2.207251E-01,7.620862E-02
-79.25000,42.98000,3.418386E-01,9.539750E-02
-79.25000,43.17000,3.544120E-01,9.994419E-02
-79.25000,43.78000,2.573673E-01,8.126736E-02
-79.23000,42.90000,3.318422E-01,9.229792E-02
-79.22000,45.33000,1.873230E-01,7.335670E-02
-79.15000,44.43000,1.655656E-01,6.595308E-02
-79.12000,44.10000,1.838842E-01,7.042154E-02
-79.10000,43.82000,2.602614E-01,8.208122E-02
-79.10000,46.72000,9.051369E-01,2.654333E-01
-79.07000,43.10000,3.564881E-01,1.011861E-01
-79.05000,42.88000,3.419750E-01,9.475116E-02
-79.03000,43.85000,2.548610E-01,8.149269E-02
-79.03000,44.35000,1.702711E-01,6.764683E-02
-79.02000,48.23000,1.812483E-01,6.899580E-02
-79.02000,48.25000,1.793703E-01,6.834356E-02
-78.95000,43.95000,2.212846E-01,7.757854E-02
-78.95000,44.10000,1.897064E-01,7.237976E-02
-78.93000,42.90000,3.467328E-01,9.671281E-02
-78.93000,43.87000,2.504935E-01,8.155490E-02
-78.85000,43.90000,2.395234E-01,8.072227E-02
-78.80000,44.65000,1.738065E-01,7.002495E-02
-78.75000,44.53000,1.743259E-01,7.015406E-02
-78.73000,44.35000,1.772222E-01,7.071769E-02
-78.73000,44.92000,1.826535E-01,7.325987E-02
-78.70000,46.32000,5.182563E-01,1.678907E-01
-78.68000,43.91000,2.348492E-01,8.107201E-02
-78.65000,44.78000,1.803644E-01,7.264416E-02
-78.58000,43.92000,2.326052E-01,8.099144E-02
-78.52000,45.05000,1.956132E-01,7.806409E-02
