# mean, investigation_time=50.0, imt="SA(0.2)"
lon,lat,depth,poe-0.001,poe-0.0012369738328770429,poe-0.0015301042632225221,poe-0.0018926989351798664,poe-0.0023412190563317373,poe-0.002896026709715442,poe-0.003582309259231001,poe-0.004431222814941891,poe-0.00548130666973087,poe-0.006780232920431492,poe-0.008386970703385248,poe-0.010374463297193916,poe-0.01283293962877216,poe-0.015874010519681996,poe-0.019635735635661532,poe-0.02428889117060458,poe-0.030044722807636117,poe-0.03716453592908995,poe-0.04597155845530296,poe-0.05686561486578711,poe-0.07034127757944245,poe-0.08701031973691085,poe-0.10762948870482365,poe-0.13313486117380213,poe-0.16468433951571093,poe-0.20371021866557323,poe-0.2519842099789747,poe-0.311697874042186,poe-0.38556211395358825,poe-0.47693024590934496,poe-0.5899502342974732,poe-0.7297530025256556,poe-0.90268536858769,poe-1.1165981802639393,poe-1.3812027308246178,poe-1.7085116359283647,poe-2.1133841868093364,poe-2.614200937899276,poe-3.233698154064028,poe-3.9999999999999996
-96.21670,50.56670,0.00000,5.886899E-01,5.684196E-01,5.432582E-01,5.132843E-01,4.788844E-01,4.407255E-01,3.997055E-01,3.568891E-01,3.134376E-01,2.705356E-01,2.293169E-01,1.907901E-01,1.557669E-01,1.248050E-01,9.817737E-02,7.587895E-02,5.766967E-02,4.314276E-02,3.179959E-02,2.311514E-02,1.658570E-02,1.175794E-02,8.242850E-03,5.719256E-03,3.930479E-03,2.677121E-03,1.808037E-03,1.211049E-03,8.044210E-04,5.295687E-04,3.451192E-04,2.222340E-04,1.410281E-04,8.789846E-05,5.358538E-05,3.179844E-05,1.826714E-05,1.009614E-05,5.331765E-06,2.670108E-06
-96.06000,50.27000,0.00000,5.779328E-01,5.581328E-01,5.336083E-01,5.044482E-01,4.710266E-01,4.339717E-01,3.941200E-01,3.524635E-01,3.100938E-01,2.681426E-01,2.277139E-01,1.898092E-01,1.552503E-01,1.246150E-01,9.820037E-02,7.602564E-02,5.787356E-02,4.335783E-02,3.199733E-02,2.328107E-02,1.671553E-02,1.185382E-02,8.310230E-03,5.764567E-03,3.959768E-03,2.695395E-03,1.819093E-03,1.217578E-03,8.082194E-04,5.317720E-04,3.464086E-04,2.230004E-04,1.414894E-04,8.817634E-05,5.375025E-05,3.189338E-05,1.831963E-05,1.012377E-05,5.345525E-06,2.676502E-06
-94.66670,53.86670,0.00000,6.291932E-01,6.050070E-01,5.752521E-01,5.401814E-01,5.004346E-01,4.569786E-01,4.110114E-01,3.638480E-01,3.168119E-01,2.711482E-01,2.279616E-01,1.881709E-01,1.524693E-01,1.212893E-01,9.478325E-02,7.283311E-02,5.509740E-02,4.108426E-02,3.023150E-02,2.197426E-02,1.579075E-02,1.122624E-02,7.900887E-03,5.507585E-03,3.804476E-03,2.605254E-03,1.769093E-03,1.191330E-03,7.953931E-04,5.261055E-04,3.442787E-04,2.224342E-04,1.414991E-04,8.832513E-05,5.388102E-05,3.197262E-05,1.835688E-05,1.013640E-05,5.346838E-06,2.674116E-06
-94.43000,49.82000,0.00000,5.649491E-01,5.463840E-01,5.235493E-01,4.965514E-01,4.657235E-01,4.315882E-01,3.948176E-01,3.561992E-01,3.166093E-01,2.769850E-01,2.382862E-01,2.014399E-01,1.672689E-01,1.364201E-01,1.093086E-01,8.609582E-02,6.670743E-02,5.088230E-02,3.823708E-02,2.832882E-02,2.070501E-02,1.493799E-02,1.064502E-02,7.497589E-03,5.223113E-03,3.601761E-03,2.460561E-03,1.666441E-03,1.119241E-03,7.452216E-04,4.912820E-04,3.199518E-04,2.052004E-04,1.291015E-04,7.932688E-05,4.737016E-05,2.734025E-05,1.515811E-05,8.017555E-06,4.014910E-06
-93.82000,51.05000,0.00000,6.093678E-01,5.895890E-01,5.650361E-01,5.357668E-01,5.021276E-01,4.647265E-01,4.243852E-01,3.820788E-01,3.388727E-01,2.958611E-01,2.541087E-01,2.145916E-01,1.781379E-01,1.453711E-01,1.166691E-01,9.215099E-02,7.169852E-02,5.500775E-02,4.165552E-02,3.116435E-02,2.305414E-02,1.687691E-02,1.223597E-02,8.793431E-03,6.270022E-03,4.440380E-03,3.126317E-03,2.189608E-03,1.525199E-03,1.055080E-03,7.227624E-04,4.882734E-04,3.237122E-04,2.095397E-04,1.317780E-04,8.013832E-05,4.690207E-05,2.628149E-05,1.401681E-05,7.067094E-06
-93.55000,49.80000,0.00000,5.680181E-01,5.495924E-01,5.270293E-01,5.004629E-01,4.702305E-01,4.368290E-01,4.008755E-01,3.630826E-01,3.242448E-01,2.852251E-01,2.469272E-01,2.102450E-01,1.759937E-01,1.448348E-01,1.172160E-01,9.334357E-02,7.319357E-02,5.655585E-02,4.309379E-02,3.240322E-02,2.406018E-02,1.765475E-02,1.281204E-02,9.203563E-03,6.551149E-03,4.625899E-03,3.244022E-03,2.261245E-03,1.566901E-03,1.078220E-03,7.349468E-04,4.943223E-04,3.265110E-04,2.107191E-04,1.322069E-04,8.025138E-05,4.690115E-05,2.625176E-05,1.398881E-05,7.048234E-06
-93.39000,48.61000,0.00000,5.152535E-01,4.965011E-01,4.737322E-01,4.472227E-01,4.174800E-01,3.851748E-01,3.510649E-01,3.159328E-01,2.805462E-01,2.456390E-01,2.119052E-01,1.799876E-01,1.504538E-01,1.237574E-01,1.001978E-01,7.989475E-02,6.279116E-02,4.868316E-02,3.726692E-02,2.818766E-02,2.108023E-02,1.559714E-02,1.142478E-02,8.290638E-03,5.964731E-03,4.257595E-03,3.016635E-03,2.121686E-03,1.480310E-03,1.023014E-03,6.986224E-04,4.699996E-04,3.103713E-04,2.003909E-04,1.259652E-04,7.673994E-05,4.508267E-05,2.539566E-05,1.362984E-05,6.919759E-06
-92.75000,49.78000,0.00000,5.715788E-01,5.530697E-01,5.304857E-01,5.039997E-01,4.739784E-01,4.409256E-01,4.054332E-01,3.681556E-01,3.298057E-01,2.911590E-01,2.530466E-01,2.163218E-01,1.817983E-01,1.501723E-01,1.219502E-01,9.740452E-02,7.657121E-02,5.928531E-02,4.523898E-02,3.404293E-02,2.527812E-02,1.853268E-02,1.342530E-02,9.617936E-03,6.821249E-03,4.794830E-03,3.344275E-03,2.316404E-03,1.593639E-03,1.088110E-03,7.358386E-04,4.912883E-04,3.225280E-04,2.072468E-04,1.297228E-04,7.870701E-05,4.604965E-05,2.583386E-05,1.380811E-05,6.981520E-06
-91.98000,50.07000,0.00000,5.860205E-01,5.672423E-01,5.442866E-01,5.173238E-01,4.867312E-01,4.530312E-01,4.168330E-01,3.787960E-01,3.396238E-01,3.000775E-01,2.609842E-01,2.232160E-01,1.876294E-01,1.549753E-01,1.258097E-01,1.004375E-01,7.890674E-02,6.104841E-02,4.654191E-02,3.498274E-02,2.593749E-02,1.898135E-02,1.372089E-02,9.806487E-03,6.937816E-03,4.864815E-03,3.385214E-03,2.339889E-03,1.607009E-03,1.095796E-03,7.403806E-04,4.940704E-04,3.242870E-04,2.083807E-04,1.304567E-04,7.917563E-05,4.633888E-05,2.600271E-05,1.389946E-05,7.026460E-06
-91.62000,48.75000,0.00000,5.382717E-01,5.193282E-01,4.963236E-01,4.695305E-01,4.394491E-01,4.067317E-01,3.721015E-01,3.362898E-01,3.000059E-01,2.639385E-01,2.287695E-01,1.951763E-01,1.638033E-01,1.352053E-01,1.097830E-01,8.773886E-02,6.907033E-02,5.360107E-02,4.103388E-02,3.100692E-02,2.313960E-02,1.706393E-02,1.244272E-02,8.978651E-03,6.417399E-03,4.547325E-03,3.196881E-03,2.230593E-03,1.544203E-03,1.059439E-03,7.188349E-04,4.809309E-04,3.161268E-04,2.033239E-04,1.273946E-04,7.739364E-05,4.535531E-05,2.549423E-05,1.365696E-05,6.922099E-06
-91.13000,49.25000,0.00000,5.628388E-01,5.439907E-01,5.210502E-01,4.942397E-01,4.639886E-01,4.308653E-01,3.955143E-01,3.586168E-01,3.208792E-01,2.830390E-01,2.458668E-01,2.101463E-01,1.766256E-01,1.459479E-01,1.185830E-01,9.478375E-02,7.457971E-02,5.780911E-02,4.417305E-02,3.329436E-02,2.476761E-02,1.819503E-02,1.320894E-02,9.483791E-03,6.740883E-03,4.748401E-03,3.318468E-03,2.302629E-03,1.586578E-03,1.084616E-03,7.341483E-04,4.904672E-04,3.221126E-04,2.070210E-04,1.295903E-04,7.862535E-05,4.599895E-05,2.580327E-05,1.379065E-05,6.972267E-06
-90.57000,49.25000,0.00000,5.683969E-01,5.493232E-01,5.260641E-01,4.988205E-01,4.680076E-01,4.341957E-01,3.980536E-01,3.603109E-01,3.217408E-01,2.831517E-01,2.453731E-01,2.092215E-01,1.754470E-01,1.446690E-01,1.173199E-01,9.361290E-02,7.354480E-02,5.692989E-02,4.345308E-02,3.272615E-02,2.433598E-02,1.787985E-02,1.298784E-02,9.334761E-03,6.644385E-03,4.688489E-03,3.283018E-03,2.282908E-03,1.576538E-03,1.080197E-03,7.327202E-04,4.904259E-04,3.225650E-04,2.075370E-04,1.300076E-04,7.891326E-05,4.617771E-05,2.590474E-05,1.384318E-05,6.996711E-06
-90.00000,53.83000,0.00000,6.386524E-01,6.142222E-01,5.842174E-01,5.488836E-01,5.088406E-01,4.650260E-01,4.186076E-01,3.708805E-01,3.231680E-01,2.767376E-01,2.327351E-01,1.921294E-01,1.556603E-01,1.237945E-01,9.670226E-02,7.426884E-02,5.614629E-02,4.183142E-02,3.074933E-02,2.232275E-02,1.601819E-02,1.137011E-02,7.989114E-03,5.559992E-03,3.834537E-03,2.621774E-03,1.777657E-03,1.195397E-03,7.970603E-04,5.266041E-04,3.442905E-04,2.222996E-04,1.413599E-04,8.822203E-05,5.381388E-05,3.193129E-05,1.833239E-05,1.012269E-05,5.339908E-06,2.671154E-06
-89.93000,48.83000,0.00000,5.687031E-01,5.483863E-01,5.236938E-01,4.948651E-01,4.623839E-01,4.269195E-01,3.892615E-01,3.502623E-01,3.107957E-01,2.717324E-01,2.339182E-01,1.981440E-01,1.651004E-01,1.353231E-01,1.091465E-01,8.668473E-02,6.784562E-02,5.237473E-02,3.991213E-02,3.004764E-02,2.236445E-02,1.646885E-02,1.200735E-02,8.674614E-03,6.214845E-03,4.419202E-03,3.120943E-03,2.189695E-03,1.525652E-03,1.054099E-03,7.203576E-04,4.851826E-04,3.207112E-04,2.071177E-04,1.300892E-04,7.910332E-05,4.634161E-05,2.601493E-05,1.390792E-05,7.031174E-06
-89.32000,48.40000,0.00000,5.763912E-01,5.540361E-01,5.270246E-01,4.956903E-01,4.606432E-01,4.226994E-01,3.827977E-01,3.419202E-01,3.010317E-01,2.610427E-01,2.227885E-01,1.870108E-01,1.543288E-01,1.252003E-01,9.988441E-02,7.842419E-02,6.066111E-02,4.627910E-02,3.486453E-02,2.596518E-02,1.913662E-02,1.397187E-02,1.011628E-02,7.271925E-03,5.195554E-03,3.693272E-03,2.613857E-03,1.841863E-03,1.291054E-03,8.983999E-04,6.187210E-04,4.200717E-04,2.799313E-04,1.822645E-04,1.154229E-04,7.076318E-05,4.179410E-05,2.365110E-05,1.274503E-05,6.494807E-06
-89.03000,50.30000,0.00000,6.486331E-01,6.256062E-01,5.974980E-01,5.645146E-01,5.271413E-01,4.860936E-01,4.422601E-01,3.966477E-01,3.503347E-01,3.044300E-01,2.600297E-01,2.181597E-01,1.797039E-01,1.453281E-01,1.154228E-01,9.008499E-02,6.914682E-02,5.223975E-02,3.887374E-02,2.851046E-02,2.061884E-02,1.471036E-02,1.035733E-02,7.199364E-03,4.942109E-03,3.351596E-03,2.246285E-03,1.488349E-03,9.752141E-04,6.319706E-04,4.049154E-04,2.562561E-04,1.598804E-04,9.804805E-05,5.886781E-05,3.443595E-05,1.951807E-05,1.065313E-05,5.561430E-06,2.756358E-06
-88.53000,48.78000,0.00000,6.217616E-01,5.979710E-01,5.690270E-01,5.352746E-01,4.973691E-01,4.561932E-01,4.127640E-01,3.681504E-01,3.234152E-01,2.795820E-01,2.376114E-01,1.983726E-01,1.625968E-01,1.308210E-01,1.033420E-01,8.019841E-02,6.119362E-02,4.595176E-02,3.398946E-02,2.478440E-02,1.782796E-02,1.265838E-02,8.876889E-03,6.151947E-03,4.216141E-03,2.859336E-03,1.920230E-03,1.277687E-03,8.425917E-04,5.506640E-04,3.563866E-04,2.280683E-04,1.439679E-04,8.934435E-05,5.427935E-05,3.212200E-05,1.841236E-05,1.015810E-05,5.356537E-06,2.679237E-06
