ordinal,uid,model,gsim,weight
28,b2~b16,SE_CANADA_HY_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_06.vs450.hdf5'),0.01956
29,b2~b17,SE_CANADA_HY_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_07.vs450.hdf5'),0.01462
30,b2~b18,SE_CANADA_HY_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_08.vs450.hdf5'),0.01396
31,b2~b19,SE_CANADA_HY_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_09.vs450.hdf5'),0.01332
32,b3~b11,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_01.vs450.hdf5'),0.01514
33,b3~b110,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_10.vs450.hdf5'),0.00344
34,b3~b111,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_11.vs450.hdf5'),0.00739
35,b3~b112,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_12.vs450.hdf5'),0.00528
36,b3~b113,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_13.vs450.hdf5'),0.00368
37,b3~b114,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5'),0.03
38,b3~b115,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_med_clC.hdf5'),0.05
39,b3~b116,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_low_clC.hdf5'),0.02
40,b3~b12,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_02.vs450.hdf5'),0.01292
41,b3~b13,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_03.vs450.hdf5'),0.01102
42,b3~b14,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_04.vs450.hdf5'),0.00486
43,b3~b15,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_05.vs450.hdf5'),0.00554
44,b3~b16,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_06.vs450.hdf5'),0.00978
45,b3~b17,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_07.vs450.hdf5'),0.00731
46,b3~b18,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_08.vs450.hdf5'),0.00698
47,b3~b19,SE_CANADA_R2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_09.vs450.hdf5'),0.00666
